pcm,,,,SpeechEnd_time,SR_result_type,SR_response_time,,error_code,ISR_Result,,SR_full_result,vadSpeechStart,vadSpeechEnd,stop_appendAudioData_type
/data/AIUI/sr/600/0259-03.pcm,,,,0,MSG_Result,-4545,,0,"把我房间的温度调至二十度",,"{""intent"":{""array_index"":0,""cid"":""cid6f18a71e@ch00b00cb92270000000"",""demand_semantic"":{},""engine_time"":3.543,""operation"":""SET"",""orig_semantic"":{""slots"":null},""rc"":0,""score"":0.5833333730697632,""semantic"":{""slots"":{""operation"":""SET"",""temperature"":""20""}},""service"":""airControl"",""sid"":""cid6f18a71e@ch00b00cb9228b010001"",""state"":{""fg::airControl::default::default"":{""state"":""default""}},""text"":""把我房间的温度调至二十度"",""used_state"":{""state"":""default"",""state_key"":""fg::airControl::default::default""},""uuid"":""atn004c4d7c@un39d00cb922916f2601""}}",0,0,no MSG_SpeechEnd
/data/AIUI/sr/600/0259-04.pcm,,,,0,MSG_Result,-2366,,0,"把温度调低一点",,"{""intent"":{""array_index"":0,""cid"":""cid6f18a71e@ch00b00cb92270000000"",""demand_semantic"":{},""engine_time"":3.206,""operation"":""SET"",""orig_semantic"":{""slots"":null},""rc"":0,""score"":1,""semantic"":{""slots"":{""operation"":""SET"",""temperature"":""-""}},""service"":""airControl"",""sid"":""cid6f18a71e@ch00b00cb92291010002"",""state"":{""fg::airControl::default::default"":{""state"":""default""}},""text"":""把温度调低一点"",""uuid"":""atn004c4d8e@un39d00cb922946f2601""}}",0,0,no MSG_SpeechEnd
/data/AIUI/sr/600/0339-01.pcm,,,,0,MSG_Result,-1744,,0,"帮我关闭空调",,"{""intent"":{""array_index"":0,""cid"":""cid6f18a71e@ch00b00cb92270000000"",""demand_semantic"":{},""engine_time"":3.16,""operation"":""INSTRUCTION"",""orig_semantic"":{""slots"":null},""rc"":0,""score"":1,""semantic"":{""slots"":{""insType"":""CLOSE"",""operation"":""INSTRUCTION""}},""service"":""airControl"",""sid"":""cid6f18a71e@ch00b00cb92295010003"",""state"":{""fg::airControl::default::default"":{""state"":""default""}},""text"":""帮我关闭空调"",""uuid"":""atn004c4da9@un1c230cb922986f2a01""}}",0,0,no MSG_SpeechEnd
/data/AIUI/sr/600/0339-03.pcm,,,,0,MSG_Result,-1484,,0,"好的退出",,"{""intent"":{""cid"":""cid6f18a71e@ch00b00cb92270000000"",""rc"":4,""sid"":""cid6f18a71e@ch00b00cb92298010004"",""text"":""好的退出"",""uuid"":""atn004c4dbc@un39d00cb9229a6f2601""}}",0,0,no MSG_SpeechEnd
/data/AIUI/sr/600/0340-01.pcm,,,,0,MSG_Result,-1558,,0,"调高点温度",,"{""intent"":{""array_index"":0,""cid"":""cid6f18a71e@ch00b00cb92270000000"",""demand_semantic"":{},""engine_time"":3.736,""operation"":""SET"",""orig_semantic"":{""slots"":null},""rc"":0,""score"":1,""semantic"":{""slots"":{""operation"":""SET"",""temperature"":""+""}},""service"":""airControl"",""sid"":""cid6f18a71e@ch00b00cb9229b010005"",""state"":{""fg::airControl::default::default"":{""state"":""default""}},""text"":""调高点温度"",""uuid"":""atn004c4de1@un1c230cb9229e6f2a01""}}",0,0,no MSG_SpeechEnd
/data/AIUI/sr/600/0340-02.pcm,,,,0,,0,,0,"",,"",0,0,no MSG_SpeechEnd
/data/AIUI/sr/600/0340-03.pcm,,,,0,MSG_Result,-3027,,0,"把空调的风向设置为左右方向扫风",,"{""intent"":{""array_index"":0,""cid"":""cid6f18a71e@ch00b00cb92270000000"",""demand_semantic"":{},""engine_time"":3.507,""operation"":""SET"",""orig_semantic"":{""slots"":null},""rc"":0,""score"":1,""semantic"":{""slots"":{""airflowDirection"":""左右扫风启动"",""device"":""空调"",""operation"":""SET""}},""service"":""airControl"",""sid"":""cid6f18a71e@ch00b00cb922aa010007"",""state"":{""fg::airControl::default::default"":{""state"":""default""}},""text"":""把空调的风向设置为左右方向扫风"",""uuid"":""atn004c4e7c@un39d00cb922ae6f2601""}}",0,0,no MSG_SpeechEnd
/data/AIUI/sr/600/0341-01.pcm,,,,0,MSG_Result,-1460,,0,"开启空调",,"{""intent"":{""array_index"":0,""cid"":""cid6f18a71e@ch00b00cb92270000000"",""demand_semantic"":{},""engine_time"":3.081,""operation"":""INSTRUCTION"",""orig_semantic"":{""slots"":null},""rc"":0,""score"":0.949999988079071,""semantic"":{""slots"":{""operation"":""INSTRUCTION""}},""service"":""airControl"",""sid"":""cid6f18a71e@ch00b00cb922ae010008"",""state"":{""fg::airControl::default::default"":{""state"":""default""}},""text"":""开启空调"",""uuid"":""atn004c4e90@un39d00cb922b16f2601""}}",0,0,no MSG_SpeechEnd
/data/AIUI/sr/600/0341-02.pcm,,,,0,MSG_Result,-1694,,0,"风速设置为三档",,"{""intent"":{""cid"":""cid6f18a71e@ch00b00cb92270000000"",""rc"":4,""sid"":""cid6f18a71e@ch00b00cb922b1010009"",""text"":""风速设置为三档"",""uuid"":""atn004c4ea9@un39d00cb922b46f2601""}}",0,0,no MSG_SpeechEnd
/data/AIUI/sr/600/0341-03.pcm,,,,0,MSG_Result,-2209,,0,"主驾驶座椅加热到朗朗",,"{""intent"":{""cid"":""cid6f18a71e@ch00b00cb92270000000"",""rc"":4,""sid"":""cid6f18a71e@ch00b00cb922b401000a"",""text"":""主驾驶座椅加热到朗朗"",""uuid"":""atn004c4ebf@un39d00cb922b76f2601""}}",0,0,no MSG_SpeechEnd
/data/AIUI/sr/600/0341-04.pcm,,,,0,MSG_Result,-1550,,0,"确定设置",,"{""intent"":{""cid"":""cid6f18a71e@ch00b00cb92270000000"",""rc"":4,""sid"":""cid6f18a71e@ch00b00cb922b801000b"",""text"":""确定设置"",""uuid"":""atn004c4eda@un1c230cb922ba6f2a01""}}",0,0,no MSG_SpeechEnd
/data/AIUI/sr/600/0169-03.pcm,,,,0,MSG_Result,-3783,,0,"下载个唱吧软件我要唱这首歌",,"{""intent"":{""cid"":""cid6f18a71e@ch00b00cb92270000000"",""rc"":4,""sid"":""cid6f18a71e@ch00b00cb922ba01000c"",""text"":""下载个唱吧软件我要唱这首歌"",""uuid"":""atn004c4efb@un1c230cb922bf6f2a01""}}",0,0,no MSG_SpeechEnd
/data/AIUI/sr/600/0248-01.pcm,,,,0,MSG_Result,-2232,,0,"下载酷狗音乐",,"{""intent"":{""array_index"":0,""cid"":""cid6f18a71e@ch00b00cb92270000000"",""demand_semantic"":{},""engine_time"":3.309,""operation"":""DOWNLOAD"",""orig_semantic"":{""slots"":null},""rc"":0,""score"":1,""semantic"":{""slots"":{""name"":""酷狗音乐"",""operation"":""DOWNLOAD""}},""service"":""app"",""sid"":""cid6f18a71e@ch00b00cb922bf01000d"",""state"":{""fg::airControl::default::default"":{""state"":""default""}},""text"":""下载酷狗音乐"",""uuid"":""atn004c4f15@un39d00cb922c26f2601""}}",0,0,no MSG_SpeechEnd
/data/AIUI/sr/600/0248-02.pcm,,,,0,MSG_Result,-1518,,0,"安装酷狗",,"{""intent"":{""array_index"":0,""cid"":""cid6f18a71e@ch00b00cb92270000000"",""demand_semantic"":{},""engine_time"":3.368,""operation"":""INSTALL"",""orig_semantic"":{""slots"":null},""rc"":0,""score"":1,""semantic"":{""slots"":{""name"":""酷狗"",""operation"":""INSTALL""}},""service"":""app"",""sid"":""cid6f18a71e@ch00b00cb922c301000e"",""state"":{""fg::airControl::default::default"":{""state"":""default""}},""text"":""安装酷狗"",""uuid"":""atn004c4f2a@un1c230cb922c56f2a01""}}",0,0,no MSG_SpeechEnd
/data/AIUI/sr/600/0248-03.pcm,,,,0,MSG_Result,-3653,,0,"打开软件",,"{""intent"":{""array_index"":0,""cid"":""cid6f18a71e@ch00b00cb92270000000"",""demand_semantic"":{},""engine_time"":1.812,""operation"":""LAUNCH"",""orig_semantic"":{""slots"":null},""rc"":0,""score"":1,""semantic"":{""prompt"":""你可以直接对我下令搜索应用程序哦，比如你可以说“搜索愤怒的小鸟”"",""slots"":{""operation"":""LAUNCH""}},""service"":""app"",""sid"":""cid6f18a71e@ch00b00cb922c501000f"",""state"":{""fg::airControl::default::default"":{""state"":""default""}},""text"":""打开软件"",""uuid"":""atn004c4f3c@un39d00cb922c86f2601""}}",0,0,no MSG_SpeechEnd
/data/AIUI/sr/600/0248-04.pcm,,,,0,MSG_Result,-2469,,0,"关闭酷我音乐",,"{""intent"":{""array_index"":0,""cid"":""cid6f18a71e@ch00b00cb92270000000"",""demand_semantic"":{},""engine_time"":3.151,""operation"":""EXIT"",""orig_semantic"":{""slots"":null},""rc"":0,""score"":1,""semantic"":{""slots"":{""name"":""酷我音乐"",""operation"":""EXIT""}},""service"":""app"",""sid"":""cid6f18a71e@ch00b00cb922c9010010"",""state"":{""fg::airControl::default::default"":{""state"":""default""}},""text"":""关闭酷我音乐"",""uuid"":""atn004c4f60@un39d00cb922cc6f2601""}}",0,0,get MSG_SpeechEnd
/data/AIUI/sr/600/0249-01.pcm,,,,0,,0,,0,"",,"",0,0,get MSG_SpeechEnd
