Â¼Òô,ÒµÎñ,Â¼Òô,±ê×¢
1,wether,english/dzdm/X5/X5-19-DZ/M018/M018_051.wav,is there rain in tianjin on women's day
2,traffic,english/dzdm/X5/X5-12-DZ/F014/F014_020.wav,suzhou north alley's traffic
3,help,english/dzdm/X5/X5-12-DZ/F014/F014_030.wav,can you show me how to use the agenda
4,meida,english/dzdm/X5/X5-11-DZ/F012/F012_098.wav,listen to usb
5,map,english/dzdm/X5/X5-18-DZ/M016/M016_206.wav,i want to get some coffee near china electronics technology group corporation number three institute
6,wether,english/dzdm/X5/X5-18-DZ/M015/M015_053.wav,what s the low temperature in shanghai
7,radio,english/dzdm/X5/X5-19-DZ/M018/M018_071.wav,change the radio to fm nine two point four
8,map,english/dzdm/X5/X5-11-DZ/F012/F012_204.wav,the nearest shenzhen
9,meida,english/dzdm/X5/X5-14-DZ/F017/F017_104.wav,open the energy drink in usb
10,wether,english/dzdm/X5/X5-15-DZ/F019/F019_061.wav,what s the weather like in shanghai on labor day
11,meida,english/dzdm/X5/X5-20-DZ/M019/M019_100.wav,play ready for love
12,telephone,english/dzdm/X5/X5-14-DZ/F017/F017_130.wav,call pratim tusk's private number
13,map,english/dzdm/X5/X5-12-DZ/F014/F014_196.wav,i want to go to the intersection between middle street second alley and third middle alley
14,wether,english/dzdm/X5/X5-13-DZ/F015/F015_052.wav,what s the low temperature in peking
15,map,english/dzdm/X5/X5-11-DZ/F011/F011_181.wav,take me to peking university southwest gate
16,telephone,english/dzdm/X5/X5-13-DZ/F015/F015_124.wav,ah could you please call drake
17,telephone,english/dzdm/X5/X5-15-DZ/F020/F020_147.wav,christian george
18,meida,english/dzdm/X5/X5-16-DZ/M012/M012_102.wav,play the ipod
19,meida,english/dzdm/X5/X5-16-DZ/M012/M012_096.wav,i want to hear bt audio
20,map,english/dzdm/X5/X5-12-DZ/F014/F014_179.wav,i want to go to the intersection between seventh branch road and nanjing road
21,map,english/dzdm/X5/X5-15-DZ/F020/F020_198.wav,the nearest cinema
22,news,english/dzdm/X5/X5-17-DZ/M013/M013_010.wav,i want to view some politics news
23,help,english/dzdm/X5/X5-11-DZ/F011/F011_029.wav,how to use the traffic
24,telephone,english/dzdm/X5/X5-19-DZ/M017/M017_116.wav,call manoj ananta's number starting with one eight nine
25,meida,english/dzdm/X5/X5-16-DZ/M012/M012_104.wav,play god is a girl in usb
26,map,english/dzdm/X5/X5-16-DZ/M011/M011_159.wav,open gps
27,map,english/dzdm/X5/X5-20-DZ/M020/M020_174.wav,any ktv nearby
28,map,english/dzdm/X5/X5-12-DZ/F013/F013_157.wav,where is the closest nanjing university parking lot entrance and exit
29,telephone,english/dzdm/X5/X5-14-DZ/F018/F018_140.wav,dial alexander david's number
30,map,english/dzdm/X5/X5-19-DZ/M017/M017_208.wav,help me navigate to china women's university
