strAudioPath,pcm_time(UTC ms),sr_result
msc_log_2017-07-20Thu20-27-16.942000.pcm.SpeexWb.pcm,1500553636942.0,搜索李玉刚的歌曲
msc_log_2017-07-20Thu20-27-21.130000.pcm.SpeexWb.pcm,1500553641130.0,换个新贵妃醉酒
msc_log_2017-07-20Thu20-27-24.898000.pcm.SpeexWb.pcm,1500553644898.0,不要李玉刚唱的
msc_log_2017-07-20Thu20-27-33.595000.pcm.SpeexWb.pcm,1500553653595.0,换他唱的别的歌
msc_log_2017-07-20Thu20-27-40.009000.pcm.SpeexWb.pcm,1500553660009.0,我想点一首尚雯婕的歌
msc_log_2017-07-20Thu20-27-44.019000.pcm.SpeexWb.pcm,1500553664019.0,想听他的最火的歌
msc_log_2017-07-20Thu20-27-47.751000.pcm.SpeexWb.pcm,1500553667751.0,换个人唱的这首歌
msc_log_2017-07-20Thu20-27-51.417000.pcm.SpeexWb.pcm,1500553671417.0,不想听他唱的了
msc_log_2017-07-20Thu20-27-54.862000.pcm.SpeexWb.pcm,1500553674862.0,他还有别的好听的歌吗
msc_log_2017-07-20Thu20-27-58.810000.pcm.SpeexWb.pcm,1500553678810.0,我想听慢摇的歌曲
msc_log_2017-07-20Thu20-28-02.585000.pcm.SpeexWb.pcm,1500553682585.0,换一个有歌词的歌曲
msc_log_2017-07-20Thu20-28-06.337000.pcm.SpeexWb.pcm,1500553686337.0,来个英文版的
msc_log_2017-07-20Thu20-28-10.485000.pcm.SpeexWb.pcm,1500553690485.0,不想听他唱的换个人唱的听听
msc_log_2017-07-20Thu20-28-15.335000.pcm.SpeexWb.pcm,1500553695335.0,请播放历史我的小呀小苹果
msc_log_2017-07-20Thu20-28-19.802000.pcm.SpeexWb.pcm,1500553699802.0,循环播放我的历史歌曲
msc_log_2017-07-20Thu20-28-24.103000.pcm.SpeexWb.pcm,1500553704103.0,播放我的历史歌曲中的轻音乐
msc_log_2017-07-20Thu20-28-28.571000.pcm.SpeexWb.pcm,1500553708571.0,搜索歌曲那就这样吧
msc_log_2017-07-20Thu20-28-32.537000.pcm.SpeexWb.pcm,1500553712537.0,换下一首歌曲
msc_log_2017-07-20Thu20-28-35.948000.pcm.SpeexWb.pcm,1500553715948.0,不想听这个人唱的换个人唱的听听
msc_log_2017-07-20Thu20-28-40.638000.pcm.SpeexWb.pcm,1500553720638.0,听英文版的那就这样吧
msc_log_2017-07-20Thu20-28-44.886000.pcm.SpeexWb.pcm,1500553724886.0,不想听英文版的了换个轻音乐吧
msc_log_2017-07-20Thu20-28-49.361000.pcm.SpeexWb.pcm,1500553729361.0,爱情买卖
msc_log_2017-07-20Thu20-28-59.189000.pcm.SpeexWb.pcm,1500553739189.0,换个人唱的
msc_log_2017-07-20Thu20-29-02.318000.pcm.SpeexWb.pcm,1500553742318.0,dj版的有吗
msc_log_2017-07-20Thu20-29-06.125000.pcm.SpeexWb.pcm,1500553746125.0,放个他唱的其他歌
msc_log_2017-07-20Thu20-29-10.223000.pcm.SpeexWb.pcm,1500553750223.0,我要听歌儿
msc_log_2017-07-20Thu20-29-13.543000.pcm.SpeexWb.pcm,1500553753543.0,听英文歌
msc_log_2017-07-20Thu20-29-17.262000.pcm.SpeexWb.pcm,1500553757262.0,听贾斯汀比伯的歌
msc_log_2017-07-20Thu20-29-22.285000.pcm.SpeexWb.pcm,1500553762285.0,有没有她唱的温柔一点的歌
msc_log_2017-07-20Thu20-29-27.338000.pcm.SpeexWb.pcm,1500553767338.0,播放音乐我可以抱你吗宝贝
msc_log_2017-07-20Thu20-29-32.018000.pcm.SpeexWb.pcm,1500553772018.0,放个他唱的其他歌
msc_log_2017-07-20Thu20-29-36.231000.pcm.SpeexWb.pcm,1500553776231.0,暂停一下
msc_log_2017-07-20Thu20-29-39.324000.pcm.SpeexWb.pcm,1500553779324.0,帮我收藏这首歌
msc_log_2017-07-20Thu20-29-42.803000.pcm.SpeexWb.pcm,1500553782803.0,换下一首吧
msc_log_2017-07-20Thu20-29-46.211000.pcm.SpeexWb.pcm,1500553786211.0,我想听爱朵唱的歌
msc_log_2017-07-20Thu20-29-50.447000.pcm.SpeexWb.pcm,1500553790447.0,声音太大了吧
msc_log_2017-07-20Thu20-29-54.031000.pcm.SpeexWb.pcm,1500553794031.0,下一曲下一曲
msc_log_2017-07-20Thu20-29-57.390000.pcm.SpeexWb.pcm,1500553797390.0,收藏这首吧
msc_log_2017-07-20Thu20-30-00.994000.pcm.SpeexWb.pcm,1500553800994.0,歌曲妈妈我想你
msc_log_2017-07-20Thu20-30-05.019000.pcm.SpeexWb.pcm,1500553805019.0,换下一首
msc_log_2017-07-20Thu20-30-08.324000.pcm.SpeexWb.pcm,1500553808324.0,先把歌曲暂停一下
msc_log_2017-07-20Thu20-30-12.450000.pcm.SpeexWb.pcm,1500553812450.0,有别的人唱的吗
msc_log_2017-07-20Thu20-30-16.155000.pcm.SpeexWb.pcm,1500553816155.0,崔健的歌
msc_log_2017-07-20Thu20-30-19.985000.pcm.SpeexWb.pcm,1500553819985.0,放他唱的情歌
msc_log_2017-07-20Thu20-30-24.096000.pcm.SpeexWb.pcm,1500553824096.0,帮我把这首歌收藏一下
msc_log_2017-07-20Thu20-30-28.465000.pcm.SpeexWb.pcm,1500553828465.0,换下一首歌曲
msc_log_2017-07-20Thu20-30-31.949000.pcm.SpeexWb.pcm,1500553831949.0,播放护花使者
msc_log_2017-07-20Thu20-30-35.649000.pcm.SpeexWb.pcm,1500553835649.0,换个其他人唱的
msc_log_2017-07-20Thu20-30-39.282000.pcm.SpeexWb.pcm,1500553839282.0,换个英文版的
