Â¼Òô,ÒµÎñ,Â¼Òô,±ê×¢
1,scheduled_destination,english\dzdm\X5\X5-11-DZ\F011\F011_001.wav,i want to check agenda today
2,scheduled_destination,english\dzdm\X5\X5-11-DZ\F011\F011_002.wav,i want to check schedule tomorrow
3,scheduled_destination,english\dzdm\X5\X5-11-DZ\F011\F011_003.wav,i want to check my agenda the day after tomorrow
4,scheduled_destination,english\dzdm\X5\X5-11-DZ\F011\F011_004.wav,i want to check my schedule next week
5,scheduled_destination,english\dzdm\X5\X5-11-DZ\F011\F011_005.wav,i want to check agenda this week
6,scheduled_destination,english\dzdm\X5\X5-11-DZ\F011\F011_006.wav,i need to check schedule today
7,news,english\dzdm\X5\X5-11-DZ\F011\F011_007.wav,read me the latest headlines today
8,news,english\dzdm\X5\X5-11-DZ\F011\F011_008.wav,i want to read some comprehensive news
9,news,english\dzdm\X5\X5-11-DZ\F011\F011_009.wav,i want to read some national news
10,news,english\dzdm\X5\X5-11-DZ\F011\F011_010.wav,i want to read some international news
11,news,english\dzdm\X5\X5-11-DZ\F011\F011_011.wav,i want to read some sports news
12,news,english\dzdm\X5\X5-11-DZ\F011\F011_012.wav,i want to read some economic news
13,news,english\dzdm\X5\X5-11-DZ\F011\F011_013.wav,i want to read some social news
14,news,english\dzdm\X5\X5-11-DZ\F011\F011_014.wav,i want to read some society news
15,traffic,english\dzdm\X5\X5-11-DZ\F011\F011_015.wav,on the way to destination is there a traffic jam
16,traffic,english\dzdm\X5\X5-11-DZ\F011\F011_016.wav,is there a traffic jam on the way to destination
17,traffic,english\dzdm\X5\X5-11-DZ\F011\F011_017.wav,how is the traffic around destination
18,traffic,english\dzdm\X5\X5-11-DZ\F011\F011_018.wav,how is the traffic in current position
19,traffic,english\dzdm\X5\X5-11-DZ\F011\F011_019.wav,is there a traffic jam in current position
20,traffic,english\dzdm\X5\X5-11-DZ\F011\F011_020.wav,is there a traffic jam on first middle road
21,traffic,english\dzdm\X5\X5-11-DZ\F011\F011_021.wav,is there a traffic jam on twelfth road
22,traffic,english\dzdm\X5\X5-11-DZ\F011\F011_022.wav,is there a traffic jam on area one main second road
23,traffic,english\dzdm\X5\X5-11-DZ\F011\F011_023.wav,is there a traffic jam on area one main fourth road
24,help,english\dzdm\X5\X5-11-DZ\F011\F011_024.wav,how to use the telephone
25,help,english\dzdm\X5\X5-11-DZ\F011\F011_025.wav,how to use the navigation
26,help,english\dzdm\X5\X5-11-DZ\F011\F011_026.wav,how to use the radio
27,help,english\dzdm\X5\X5-11-DZ\F011\F011_027.wav,how to use the music
