pcm,time_Base,AudioTimeLength,time_SpeechStart,time_SpeechEnd,time_EndAudioData,time_Result,result_status,time_resume,ISR_Mode, other, Result_content,rc,Confidence_score,Result
/home/linaro/ATP/test_data/PcmRes/isr/400_ç«¯ç‚¹æ ‡æ³¨/å¸‚åŒºé™æ­¢å…³çª—å…³ç©ºè°ƒ/LSA/C3åœºæ™¯/hight_c3_1s_5s/hight_c3_1s_5s_7_encode.pcm,165064328,7510,165065775,1116,0,165068116,MSG_Result,1278,1,0,ÎÒÏëÈ¥ºú¼ÒÃí,0,0,"{""bislocalresult"":""1"",""language"":""zh_cn_mandarin"",""nlocalconfidencescore"":""0"",""operation"":""ROUTE"",""pk_score"":1,""rc"":0,""semantic"":{""slots"":{""endLoc"":{""city"":""CURRENT_CITY"",""ori_loc"":""ºú¼ÒÃí"",""poi"":""ºú¼ÒÃí"",""type"":""LOC_POI""},""startLoc"":{""city"":""CURRENT_CITY"",""poi"":""CURRENT_POI"",""type"":""LOC_POI""}}},""service"":""map"",""text"":""ÎÒÏëÈ¥ºú¼ÒÃí"",""version"":""3.5.0.1190""}
"
/home/linaro/ATP/test_data/PcmRes/isr/400_ç«¯ç‚¹æ ‡æ³¨/éƒŠåŒºåŠå¼€çª—/C3åœºæ™¯/LSA/low_c3_2.5s_3.5s/low_c3_2.5s_3.5s_167_encode.pcm,165068133,8671,165071119,915,0,165074360,MSG_Result,1056,1,0,ÎÒÒªµ½³¤½­Â·ÓëÌìÉ½Â·½»²æ¿Ú,0,0,"{""bislocalresult"":""1"",""language"":""zh_cn_mandarin"",""nlocalconfidencescore"":""0"",""operation"":""ROUTE"",""pk_score"":1,""rc"":0,""semantic"":{""slots"":{""endLoc"":{""city"":""CURRENT_CITY"",""ori_loc"":""³¤½­Â·ÓëÌìÉ½Â·½»²æ¿Ú"",""street"":""³¤½­Â·"",""streets"":""ÌìÉ½Â·"",""type"":""LOC_CROSS""},""startLoc"":{""city"":""CURRENT_CITY"",""poi"":""CURRENT_POI"",""type"":""LOC_POI""}}},""service"":""map"",""text"":""ÎÒÒªµ½³¤½­Â·ÓëÌìÉ½Â·½»²æ¿Ú"",""version"":""3.5.0.1190""}
"
/home/linaro/ATP/test_data/PcmRes/isr/400_ç«¯ç‚¹æ ‡æ³¨/éƒŠåŒºåŠå¼€çª—/C4åœºæ™¯/LSA/low_c4_2.5s_3.5s/low_c4_2.5s_3.5s_164_encode.pcm,165074378,10041,165077424,986,0,165082138,MSG_Result,1219,1,0,ÎÒÒªÈ¥°×Ã×Ğ§ºúÍ¬ºÏ·Ê¼ô×ÓÏï½»²æÂ·¿Ú,0,0,"{""bislocalresult"":""1"",""language"":""zh_cn_mandarin"",""nlocalconfidencescore"":""0"",""operation"":""ROUTE"",""pk_score"":0.6706,""rc"":0,""semantic"":{""slots"":{""endLoc"":{""city"":""CURRENT_CITY"",""ori_loc"":""°×Ã×Ğ§ºúÍ¬ºÏ·Ê¼ô×ÓÏï½»²æÂ·¿Ú"",""street"":""°×Ã×Ğ§ºúÍ¬"",""streets"":""ºÏ·Ê¼ô×ÓÏï"",""type"":""LOC_CROSS""},""startLoc"":{""city"":""CURRENT_CITY"",""poi"":""CURRENT_POI"",""type"":""LOC_POI""}}},""service"":""map"",""text"":""ÎÒÒªÈ¥°×Ã×Ğ§ºúÍ¬ºÏ·Ê¼ô×ÓÏï½»²æÂ·¿Ú"",""version"":""3.5.0.1190""}
"
/home/linaro/ATP/test_data/PcmRes/isr/400_ç«¯ç‚¹æ ‡æ³¨/å¸‚åŒºé™æ­¢å…³çª—å…³ç©ºè°ƒ/LSA/C4åœºæ™¯/hight_c4_1s_5s/hight_c4_1s_5s_27_encode.pcm,165082160,9579,165083607,1027,0,165087891,MSG_Result,1152,1,0,µ¼º½µ½ÕñĞËÂ·ÓëÏ¼Î÷Â·½»²æ¿Ú,0,0,"{""bislocalresult"":""1"",""language"":""zh_cn_mandarin"",""nlocalconfidencescore"":""0"",""operation"":""ROUTE"",""pk_score"":0.8769,""rc"":0,""semantic"":{""slots"":{""endLoc"":{""city"":""CURRENT_CITY"",""ori_loc"":""ÕñĞËÂ·ÓëÏ¼Î÷Â·½»²æ¿Ú"",""street"":""ÕñĞËÂ·"",""streets"":""ÓëÏ¼Î÷Â·"",""type"":""LOC_CROSS""},""startLoc"":{""city"":""CURRENT_CITY"",""poi"":""CURRENT_POI"",""type"":""LOC_POI""}}},""service"":""map"",""text"":""µ¼º½µ½ÕñĞËÂ·ÓëÏ¼Î÷Â·½»²æ¿Ú"",""version"":""3.5.0.1190""}
"
/home/linaro/ATP/test_data/PcmRes/isr/400_ç«¯ç‚¹æ ‡æ³¨/å¸‚åŒºé™æ­¢å…³çª—å…³ç©ºè°ƒ/LSA/C4åœºæ™¯/hight_c4_1s_5s/hight_c4_1s_5s_1_encode.pcm,165087910,8293,165089357,1033,0,165092328,MSG_Result,1125,1,0,ÎÒÒªµ½½­ËÕÊ¡ÅÆÊÇÕş¸®,0,0,"{""bislocalresult"":""1"",""language"":""zh_cn_mandarin"",""nlocalconfidencescore"":""0"",""operation"":""ROUTE"",""pk_score"":0.68,""rc"":0,""semantic"":{""slots"":{""endLoc"":{""city"":""CURRENT_CITY"",""ori_loc"":""½­ËÕÊ¡ÅÆÊÇÕş¸®"",""poi"":""ÅÆÊÇÕş¸®"",""province"":""½­ËÕÊ¡"",""provinceAddr"":""½­ËÕ"",""type"":""LOC_POI""},""startLoc"":{""city"":""CURRENT_CITY"",""poi"":""CURRENT_POI"",""type"":""LOC_POI""}}},""service"":""map"",""text"":""ÎÒÒªµ½½­ËÕÊ¡ÅÆÊÇÕş¸®"",""version"":""3.5.0.1190""}
"
/home/linaro/ATP/test_data/PcmRes/isr/400_ç«¯ç‚¹æ ‡æ³¨/éƒŠåŒºåŠå¼€çª—/C4åœºæ™¯/LSA/low_c4_2s_4s/low_c4_2s_4s_321_encode.pcm,165092342,7589,165094908,1157,0,165097177,MSG_Result,1246,1,0,ÎÒÏëÈ¥º¼ÖİÈÕ±¨Éç,0,0,"{""bislocalresult"":""1"",""language"":""zh_cn_mandarin"",""nlocalconfidencescore"":""0"",""operation"":""ROUTE"",""pk_score"":0.7,""rc"":0,""semantic"":{""slots"":{""endLoc"":{""city"":""º¼ÖİÊĞ"",""cityAddr"":""º¼Öİ"",""ori_loc"":""º¼ÖİÈÕ±¨Éç"",""poi"":""ÈÕ±¨Éç"",""type"":""LOC_POI""},""startLoc"":{""city"":""CURRENT_CITY"",""poi"":""CURRENT_POI"",""type"":""LOC_POI""}}},""service"":""map"",""text"":""ÎÒÏëÈ¥º¼ÖİÈÕ±¨Éç"",""version"":""3.5.0.1190""}
"
/home/linaro/ATP/test_data/PcmRes/isr/400_ç«¯ç‚¹æ ‡æ³¨/å¸‚åŒºé™æ­¢å…³çª—å…³ç©ºè°ƒ/LSA/C4åœºæ™¯/hight_c4_2s_4s/hight_c4_2s_4s_188_encode.pcm,165097193,8642,165099700,1125,0,165103093,MSG_Result,1258,1,0,ÎÒÒªµ½¾©¸Û°Ä¸ßËÙÔÀÑô¶«ÊÕ·ÑÕ¾,0,0,"{""bislocalresult"":""1"",""language"":""zh_cn_mandarin"",""nlocalconfidencescore"":""0"",""operation"":""ROUTE"",""pk_score"":0.6143,""rc"":0,""semantic"":{""slots"":{""endLoc"":{""city"":""ÔÀÑôÊĞ"",""cityAddr"":""ÔÀÑô"",""ori_loc"":""¾©¸Û°Ä¸ßËÙÔÀÑô¶«"",""poi"":""ÔÀÑô¶«"",""street"":""¾©¸Û°Ä¸ßËÙ"",""type"":""LOC_POI""},""startLoc"":{""city"":""CURRENT_CITY"",""poi"":""CURRENT_POI"",""type"":""LOC_POI""}}},""service"":""map"",""text"":""ÎÒÒªµ½¾©¸Û°Ä¸ßËÙÔÀÑô¶«ÊÕ·ÑÕ¾"",""version"":""3.5.0.1190""}
"
/home/linaro/ATP/test_data/PcmRes/isr/400_ç«¯ç‚¹æ ‡æ³¨/éƒŠåŒºåŠå¼€çª—/C4åœºæ™¯/LSA/hight_c4_0.5s_5.5s/hight_c4_0.5s_5.5s_30_encode.pcm,165103107,9061,165104234,1086,0,165107906,MSG_Result,1238,1,0,ÎÒÒªÈ¥ÓùµÀ½ÖÓë´ó±¦Â·½»²æ¿Ú,0,0,"{""bislocalresult"":""1"",""language"":""zh_cn_mandarin"",""nlocalconfidencescore"":""0"",""operation"":""ROUTE"",""pk_score"":0.7538,""rc"":0,""semantic"":{""slots"":{""endLoc"":{""city"":""CURRENT_CITY"",""ori_loc"":""ÓùµÀ½ÖÓë´ó±¦Â·½»²æ¿Ú"",""street"":""ÓùµÀ½Ö"",""streets"":""´ó±¦Â·"",""type"":""LOC_CROSS""},""startLoc"":{""city"":""CURRENT_CITY"",""poi"":""CURRENT_POI"",""type"":""LOC_POI""}}},""service"":""map"",""text"":""ÎÒÒªÈ¥ÓùµÀ½ÖÓë´ó±¦Â·½»²æ¿Ú"",""version"":""3.5.0.1190""}
"
/home/linaro/ATP/test_data/PcmRes/isr/400_ç«¯ç‚¹æ ‡æ³¨/éƒŠåŒºåŠå¼€çª—/C4åœºæ™¯/LSA/hight_c4_2.5s_3.5s/hight_c4_2.5s_3.5s_213_encode.pcm,165107918,9297,165110904,1090,0,165114939,MSG_Result,1224,1,0,ÎÒÒªÈ¥°²¶¨Â·ºÍ°²¶¨ÃÅÍâ´ó½Ö½»¿Ú,0,0,"{""bislocalresult"":""1"",""language"":""zh_cn_mandarin"",""nlocalconfidencescore"":""0"",""operation"":""ROUTE"",""pk_score"":1,""rc"":0,""semantic"":{""slots"":{""endLoc"":{""city"":""CURRENT_CITY"",""ori_loc"":""°²¶¨Â·ºÍ°²¶¨ÃÅÍâ´ó½Ö½»¿Ú"",""street"":""°²¶¨Â·"",""streets"":""°²¶¨ÃÅÍâ´ó½Ö"",""type"":""LOC_CROSS""},""startLoc"":{""city"":""CURRENT_CITY"",""poi"":""CURRENT_POI"",""type"":""LOC_POI""}}},""service"":""map"",""text"":""ÎÒÒªÈ¥°²¶¨Â·ºÍ°²¶¨ÃÅÍâ´ó½Ö½»¿Ú"",""version"":""3.5.0.1190""}
"
/home/linaro/ATP/test_data/PcmRes/isr/400_ç«¯ç‚¹æ ‡æ³¨/éƒŠåŒºåŠå¼€çª—/C3åœºæ™¯/LSA/hight_c3_1s_5s/hight_c3_1s_5s_117_encode.pcm,165114950,7882,165116397,1064,0,165118986,MSG_Result,1154,1,0,ÎÒÒªÈ¥µç×ÓÉÌÃ³³Ç,0,0,"{""bislocalresult"":""1"",""language"":""zh_cn_mandarin"",""nlocalconfidencescore"":""0"",""operation"":""ROUTE"",""pk_score"":0.5,""rc"":0,""semantic"":{""slots"":{""endLoc"":{""city"":""CURRENT_CITY"",""ori_loc"":""µç×ÓÉÌÃ³³Ç"",""poi"":""µç×ÓÉÌÃ³³Ç"",""type"":""LOC_POI""},""startLoc"":{""city"":""CURRENT_CITY"",""poi"":""CURRENT_POI"",""type"":""LOC_POI""}}},""service"":""map"",""text"":""ÎÒÒªÈ¥µç×ÓÉÌÃ³³Ç"",""version"":""3.5.0.1190""}
"
/home/linaro/ATP/test_data/PcmRes/isr/400_ç«¯ç‚¹æ ‡æ³¨/éƒŠåŒºåŠå¼€çª—/C4åœºæ™¯/LSA/low_c4_2.5s_3.5s/low_c4_2.5s_3.5s_6_encode.pcm,165119002,7538,165121888,1028,0,165124502,MSG_Result,1462,1,0,È¥Àî¼ÇÁ¬Ëø,0,0,"{""bislocalresult"":""1"",""language"":""zh_cn_mandarin"",""nlocalconfidencescore"":""0"",""operation"":""ROUTE"",""pk_score"":0.6,""rc"":0,""semantic"":{""slots"":{""endLoc"":{""city"":""CURRENT_CITY"",""ori_loc"":""Àî¼Ç"",""poi"":""Àî¼Ç"",""type"":""LOC_POI""},""startLoc"":{""city"":""CURRENT_CITY"",""poi"":""CURRENT_POI"",""type"":""LOC_POI""}}},""service"":""map"",""text"":""È¥Àî¼ÇÁ¬Ëø"",""version"":""3.5.0.1190""}
"
/home/linaro/ATP/test_data/PcmRes/isr/400_ç«¯ç‚¹æ ‡æ³¨/éƒŠåŒºåŠå¼€çª—/C3åœºæ™¯/LSA/hight_c3_1s_5s/hight_c3_1s_5s_61_encode.pcm,165124512,6995,165125898,1151,0,165127705,MSG_Result,1198,1,0,ÎÒÒªÈ¥µÂ¿ËÊ¿,0,0,"{""bislocalresult"":""1"",""language"":""zh_cn_mandarin"",""nlocalconfidencescore"":""0"",""operation"":""ROUTE"",""pk_score"":1,""rc"":0,""semantic"":{""slots"":{""endLoc"":{""city"":""CURRENT_CITY"",""ori_loc"":""µÂ¿ËÊ¿"",""poi"":""µÂ¿ËÊ¿"",""type"":""LOC_POI""},""startLoc"":{""city"":""CURRENT_CITY"",""poi"":""CURRENT_POI"",""type"":""LOC_POI""}}},""service"":""map"",""text"":""ÎÒÒªÈ¥µÂ¿ËÊ¿"",""version"":""3.5.0.1190""}
"
/home/linaro/ATP/test_data/PcmRes/isr/400_ç«¯ç‚¹æ ‡æ³¨/éƒŠåŒºåŠå¼€çª—/C3åœºæ™¯/LSA/low_c3_2s_4s/low_c3_2s_4s_71_encode.pcm,165127722,8077,165130128,1149,0,165133049,MSG_Result,1250,1,0,ÎÒÒªÈ¥ÓÀ¶¨ÃÅÍâ´ó½ÖÔõÃ´×ß,0,0,"{""bislocalresult"":""1"",""language"":""zh_cn_mandarin"",""nlocalconfidencescore"":""0"",""operation"":""ROUTE"",""pk_score"":1,""rc"":0,""semantic"":{""slots"":{""endLoc"":{""city"":""CURRENT_CITY"",""ori_loc"":""ÓÀ¶¨ÃÅÍâ´ó½Ö"",""street"":""ÓÀ¶¨ÃÅÍâ´ó½Ö"",""type"":""LOC_STREET""},""startLoc"":{""city"":""CURRENT_CITY"",""poi"":""CURRENT_POI"",""type"":""LOC_POI""}}},""service"":""map"",""text"":""ÎÒÒªÈ¥ÓÀ¶¨ÃÅÍâ´ó½ÖÔõÃ´×ß"",""version"":""3.5.0.1190""}
"
/home/linaro/ATP/test_data/PcmRes/isr/400_ç«¯ç‚¹æ ‡æ³¨/éƒŠåŒºåŠå¼€çª—/C3åœºæ™¯/LSA/hight_c3_1s_5s/hight_c3_1s_5s_113_encode.pcm,165133063,8162,165134509,524,0,165136908,MSG_Result,683,1,0,ÎÒÏëµ½Ò»¸ö,0,0,"{""bislocalresult"":""1"",""language"":""zh_cn_mandarin"",""nlocalconfidencescore"":""0"",""operation"":""ROUTE"",""pk_score"":0.68,""rc"":0,""semantic"":{""slots"":{""endLoc"":{""city"":""CURRENT_CITY"",""ori_loc"":""Ò»¸ö"",""poi"":""Ò»¸ö"",""type"":""LOC_POI""},""startLoc"":{""city"":""CURRENT_CITY"",""poi"":""CURRENT_POI"",""type"":""LOC_POI""}}},""service"":""map"",""text"":""ÎÒÏëµ½Ò»¸ö"",""version"":""3.5.0.1190""}
"
