pcm,time_Base,AudioTimeLength,time_SpeechStart,time_SpeechEnd,time_EndAudioData,time_Result,result_status,time_resume,ISR_Mode, other, Result_content,rc,Confidence_score,Result
/home/linaro/ATP/test_data/PcmRes/isr/800_Enc_NoWavHead/10map_route/10map_route_007_M098_coder.wav.pcm,29838083,3488,29838989,3496,29841572,29841864,MSG_Result,292,1,0,从庐阳区寿春路桥到泾阳。,0,0,"{""bislocalresult"":""1"",""language"":""zh_cn_mandarin"",""nlocalconfidencescore"":""0"",""operation"":""ROUTE"",""pk_score"":1,""rc"":0,""semantic"":{""slots"":{""endLoc"":{""area"":""泾阳县"",""areaAddr"":""泾阳"",""ori_loc"":""泾阳"",""type"":""LOC_BASIC""},""startLoc"":{""area"":""庐阳区"",""areaAddr"":""庐阳"",""city"":""CURRENT_CITY"",""ori_loc"":""庐阳区寿春路桥"",""poi"":""寿春路桥"",""type"":""LOC_POI""}}},""service"":""map"",""text"":""从庐阳区寿春路桥到泾阳。"",""version"":""3.5.0.1190""}
"
/home/linaro/ATP/test_data/PcmRes/isr/800_Enc_NoWavHead/10map_route/10map_route_014_M099_coder.wav.pcm,29841885,2528,29842788,2535,29844413,29844568,MSG_Result,155,1,0,我这里到你住哪里。,0,0,"{""bislocalresult"":""1"",""language"":""zh_cn_mandarin"",""nlocalconfidencescore"":""0"",""operation"":""ROUTE"",""pk_score"":0.6,""rc"":0,""semantic"":{""slots"":{""endLoc"":{""city"":""CURRENT_CITY"",""ori_loc"":""你住哪里"",""poi"":""你住哪里"",""type"":""LOC_POI""},""startLoc"":{""city"":""CURRENT_CITY"",""poi"":""CURRENT_POI"",""type"":""LOC_POI""}}},""service"":""map"",""text"":""我这里到你住哪里。"",""version"":""3.5.0.1190""}
"
/home/linaro/ATP/test_data/PcmRes/isr/800_Enc_NoWavHead/10map_route/10map_route_021_M101_coder.wav.pcm,29844578,2272,29845482,2311,29846850,29847006,MSG_Result,156,1,0,从我这里怎么去龙泉路。,0,0,"{""bislocalresult"":""1"",""language"":""zh_cn_mandarin"",""nlocalconfidencescore"":""0"",""operation"":""ROUTE"",""pk_score"":1,""rc"":0,""semantic"":{""slots"":{""endLoc"":{""city"":""CURRENT_CITY"",""ori_loc"":""龙泉路"",""street"":""龙泉路"",""type"":""LOC_STREET""},""startLoc"":{""city"":""CURRENT_CITY"",""poi"":""CURRENT_POI"",""type"":""LOC_POI""}}},""service"":""map"",""text"":""从我这里怎么去龙泉路。"",""version"":""3.5.0.1190""}
"
/home/linaro/ATP/test_data/PcmRes/isr/800_Enc_NoWavHead/10map_route/10map_route_028_M102_coder.wav.pcm,29847016,4480,29847919,4491,29851496,29851661,MSG_Result,165,1,0,从这里到三和汽车修理有限公司如何去。,0,0,"{""bislocalresult"":""1"",""language"":""zh_cn_mandarin"",""nlocalconfidencescore"":""0"",""operation"":""ROUTE"",""pk_score"":0.5294,""rc"":0,""semantic"":{""slots"":{""endLoc"":{""city"":""CURRENT_CITY"",""ori_loc"":""三和汽车修理有限公司"",""poi"":""三和汽车修理有限公司"",""type"":""LOC_POI""},""startLoc"":{""city"":""CURRENT_CITY"",""poi"":""CURRENT_POI"",""type"":""LOC_POI""}}},""service"":""map"",""text"":""从这里到三和汽车修理有限公司如何去。"",""version"":""3.5.0.1190""}
"
/home/linaro/ATP/test_data/PcmRes/isr/800_Enc_NoWavHead/10map_route/10map_route_035_M071_coder.wav.pcm,29851672,5088,29852578,5096,29856760,29856893,MSG_Result,133,1,0,从这里到徽商银行三里庵支行atm怎么去。,0,0,"{""bislocalresult"":""1"",""language"":""zh_cn_mandarin"",""nlocalconfidencescore"":""0"",""operation"":""ROUTE"",""pk_score"":0.4947,""rc"":0,""semantic"":{""slots"":{""endLoc"":{""city"":""CURRENT_CITY"",""ori_loc"":""徽商银行三里庵支行atm"",""poi"":""徽商银行三里庵支行atm"",""type"":""LOC_POI""},""startLoc"":{""city"":""CURRENT_CITY"",""poi"":""CURRENT_POI"",""type"":""LOC_POI""}}},""service"":""map"",""text"":""从这里到徽商银行三里庵支行atm怎么去。"",""version"":""3.5.0.1190""}
"
/home/linaro/ATP/test_data/PcmRes/isr/800_Enc_NoWavHead/10map_route/10map_route_042_M073_coder.wav.pcm,29856906,4048,29857839,4055,29860954,29861095,MSG_Result,141,1,0,从这里去九龙路和翠微路交叉路口如何去。,0,0,"{""bislocalresult"":""1"",""language"":""zh_cn_mandarin"",""nlocalconfidencescore"":""0"",""operation"":""ROUTE"",""pk_score"":0.9111,""rc"":0,""semantic"":{""slots"":{""endLoc"":{""city"":""CURRENT_CITY"",""ori_loc"":""九龙路和翠微路交叉路口"",""street"":""九龙路"",""streets"":""翠微路"",""type"":""LOC_CROSS""},""startLoc"":{""city"":""CURRENT_CITY"",""poi"":""CURRENT_POI"",""type"":""LOC_POI""}}},""service"":""map"",""text"":""从这里去九龙路和翠微路交叉路口如何去。"",""version"":""3.5.0.1190""}
"
/home/linaro/ATP/test_data/PcmRes/isr/800_Enc_NoWavHead/10map_route/10map_route_049_M074_coder.wav.pcm,29861101,3808,29862035,3815,29864909,29865044,MSG_Result,135,1,0,从这里去福州市军川大道怎么去。,0,0,"{""bislocalresult"":""1"",""language"":""zh_cn_mandarin"",""nlocalconfidencescore"":""0"",""operation"":""ROUTE"",""pk_score"":0.8857,""rc"":0,""semantic"":{""slots"":{""endLoc"":{""city"":""福州市"",""cityAddr"":""福州"",""ori_loc"":""福州市军川大道"",""street"":""军川大道"",""type"":""LOC_STREET""},""startLoc"":{""city"":""CURRENT_CITY"",""poi"":""CURRENT_POI"",""type"":""LOC_POI""}}},""service"":""map"",""text"":""从这里去福州市军川大道怎么去。"",""version"":""3.5.0.1190""}
"
/home/linaro/ATP/test_data/PcmRes/isr/800_Enc_NoWavHead/10map_route/10map_route_056_M048_coder.wav.pcm,29865054,2512,29865987,2519,29867566,29867740,MSG_Result,174,1,0,从这里如何到坝上街。,0,0,"{""bislocalresult"":""1"",""language"":""zh_cn_mandarin"",""nlocalconfidencescore"":""0"",""operation"":""ROUTE"",""pk_score"":1,""rc"":0,""semantic"":{""slots"":{""endLoc"":{""city"":""CURRENT_CITY"",""ori_loc"":""坝上街"",""street"":""坝上街"",""type"":""LOC_STREET""},""startLoc"":{""city"":""CURRENT_CITY"",""poi"":""CURRENT_POI"",""type"":""LOC_POI""}}},""service"":""map"",""text"":""从这里如何到坝上街。"",""version"":""3.5.0.1190""}
"
/home/linaro/ATP/test_data/PcmRes/isr/800_Enc_NoWavHead/10map_route/10map_route_063_M049_coder.wav.pcm,29867753,5712,29868686,5783,29873528,29873738,MSG_Result,210,1,0,从这里导航到四川省攀枝花市米易县义县服务区。,0,0,"{""bislocalresult"":""1"",""language"":""zh_cn_mandarin"",""nlocalconfidencescore"":""0"",""operation"":""ROUTE"",""pk_score"":0.8095,""rc"":0,""semantic"":{""slots"":{""endLoc"":{""area"":""米易县"",""areaAddr"":""米易"",""city"":""攀枝花市"",""cityAddr"":""攀枝花"",""ori_loc"":""四川省攀枝花市米易县义县服务区"",""poi"":""义县服务区"",""province"":""四川省"",""provinceAddr"":""四川"",""type"":""LOC_POI""},""startLoc"":{""city"":""CURRENT_CITY"",""poi"":""CURRENT_POI"",""type"":""LOC_POI""}}},""service"":""map"",""text"":""从这里导航到四川省攀枝花市米易县义县服务区。"",""version"":""3.5.0.1190""}
"
/home/linaro/ATP/test_data/PcmRes/isr/800_Enc_NoWavHead/10map_route/10map_route_070_M050_coder.wav.pcm,29874534,2464,29875468,2475,29876999,29877245,MSG_Result,246,1,0,从这里怎么去合兴大厦。,0,0,"{""bislocalresult"":""1"",""language"":""zh_cn_mandarin"",""nlocalconfidencescore"":""0"",""operation"":""ROUTE"",""pk_score"":1,""rc"":0,""semantic"":{""slots"":{""endLoc"":{""city"":""CURRENT_CITY"",""ori_loc"":""合兴大厦"",""poi"":""合兴大厦"",""type"":""LOC_POI""},""startLoc"":{""city"":""CURRENT_CITY"",""poi"":""CURRENT_POI"",""type"":""LOC_POI""}}},""service"":""map"",""text"":""从这里怎么去合兴大厦。"",""version"":""3.5.0.1190""}
"
