录音,time_SpeechStart,time_SpeechEnd,time_EndAudioData,time_Result,result_status,time_resume,结果来源,error_code,ISR_Result,Confidence_score,Result,vadSpeechStart,vadSpeechEnd,endVadType
/mnt/sdcard/pcm/English/Album/00000001_code.pcm,1484627704322,1484627705969,1484627705820,1484627706122,MSG_Result,302,云端,0,"Play of them all the movie star burns.",none,"{""answer"":{""text"":""这个问题，我问了一圈机器，都不会。咱还是搜索下吧。"",""topic"":""unknown"",""type"":""T""},""debug"":{""sid"":""iat22b6917f@ch016f0bd8eaf73d8900""},""operation"":""ANSWER"",""pkscore"":0,""rc"":0,""score"":0.1,""semamticCostTime"":0,""service"":""pattern"",""serviceType"":""cqa"",""text"":""Play of them all the movie star burns."",""uuid"":""2f0acd5653df27e288b14f578d996381query"",""wstext"":""ｐｌａｙ/E_NN  　/W  ｏｆ/E_OF  　/W  ｔｈｅｍ/E_PRP  　/W  ａｌｌ/E_NN  　/W  ｔｈｅ/E_DT  　/W  ｍｏｖｉｅ/E_NN  　/W  ｓｔａｒ/E_NN  　/W  ｂｕｒｎｓ/E_NNS  ．/W""}
",80,2000,endAudioData
/mnt/sdcard/pcm/English/Album/00000002_code.pcm,1484627707142,1484627708414,1484627708283,1484627708684,MSG_Result,401,云端,0,"Layout and back on top.",none,"{""answer"":{""text"":""不会不会，惭愧惭愧。搜索一下，应该就会。"",""topic"":""unknown"",""type"":""T""},""debug"":{""sid"":""iat9cba7c7f@ch00b10bd8eafa3d8900""},""operation"":""ANSWER"",""pkscore"":0,""rc"":0,""score"":0.1,""semamticCostTime"":0,""service"":""pattern"",""serviceType"":""cqa"",""text"":""Layout and back on top."",""uuid"":""adb91f7607b4cd0b06f4c8b264bbcda4query"",""wstext"":""ｌａｙｏｕｔ/E_NN  　/W  ａｎｄ/E_CC  　/W  ｂａｃｋ/E_NN  　/W  ｏｎ/E_IN  　/W  ｔｏｐ/E_NN  ．/W""}
",90,1550,endAudioData
/mnt/sdcard/pcm/English/Album/00000003_code.pcm,1484627709687,1484627711330,1484627711148,1484627711551,MSG_Result,403,云端,0,"Layout and beautiful offerings.",none,"{""answer"":{""text"":""不会不会，惭愧惭愧。搜索一下，应该就会。"",""topic"":""unknown"",""type"":""T""},""debug"":{""sid"":""iat9ca9f77f@ch02bc0bd8eafd3d8900""},""operation"":""ANSWER"",""pkscore"":0,""rc"":0,""score"":0.1,""semamticCostTime"":0,""service"":""pattern"",""serviceType"":""cqa"",""text"":""Layout and beautiful offerings."",""uuid"":""75d347f8e05f3aa417f1754b093eeed1query"",""wstext"":""ｌａｙｏｕｔ/E_NN  　/W  ａｎｄ/E_CC  　/W  ｂｅａｕｔｉｆｕｌ/E_JJ  　/W  ｏｆｆｅｒｉｎｇｓ/E_NNS  ．/W""}
",80,2000,endAudioData
/mnt/sdcard/pcm/English/Album/00000004_code.pcm,1484627712565,1484627713819,1484627713748,1484627714299,MSG_Result,551,云端,0,"For real and burning bridges.",none,"{""answer"":{""text"":""还真被你问倒了，要不帮你搜索下吧。"",""topic"":""unknown"",""type"":""T""},""debug"":{""sid"":""iat62989ffb@ch023b0bd8eaff3d8900""},""operation"":""ANSWER"",""pkscore"":0,""rc"":0,""score"":0.1,""semamticCostTime"":0,""service"":""pattern"",""serviceType"":""cqa"",""text"":""For real and burning bridges."",""uuid"":""ae94f17c17ae861dd1b376a5e962fc48query"",""wstext"":""ｆｏｒ/E_IN  　/W  ｒｅａｌ/E_JJ  　/W  ａｎｄ/E_CC  　/W  ｂｕｒｎｉｎｇ/E_NN  　/W  ｂｒｉｄｇｅｓ/E_NNP  ．/W""}
",100,1700,endAudioData
/mnt/sdcard/pcm/English/Album/00000005_code.pcm,1484627715324,1484627716483,1484627716336,1484627716937,MSG_Result,601,云端,0,"We open bottom feeder.",none,"{""answer"":{""text"":""还真被你问倒了，要不帮你搜索下吧。"",""topic"":""unknown"",""type"":""T""},""debug"":{""sid"":""iat9cb928ff@ch015d0bd8eb023d8900""},""operation"":""ANSWER"",""pkscore"":0,""rc"":0,""score"":0.1,""semamticCostTime"":0,""service"":""pattern"",""serviceType"":""cqa"",""text"":""We open bottom feeder."",""uuid"":""db05acc1ba721e0c2c3c10b6c78fa12fquery"",""wstext"":""ｗｅ/E_PRP  　/W  ｏｐｅｎ/E_JJ  　/W  ｂｏｔｔｏｍ/X  　/W  ｆｅｅｄｅｒ/E_NN  ．/W""}
",100,1650,endAudioData
/mnt/sdcard/pcm/English/Album/00000006_code.pcm,1484627717954,1484627718845,1484627718760,1484627719462,MSG_Result,702,云端,0,"File the motion.",none,"{""answer"":{""text"":""不会不会，惭愧惭愧。搜索一下，应该就会。"",""topic"":""unknown"",""type"":""T""},""debug"":{""sid"":""iat6ebd1a7f@ch03cc0bd8eb053d8900""},""operation"":""ANSWER"",""pkscore"":0,""rc"":0,""score"":0.1,""semamticCostTime"":0,""service"":""pattern"",""serviceType"":""cqa"",""text"":""File the motion."",""uuid"":""50a8100752f2d43863c6353ea995c15equery"",""wstext"":""ｆｉｌｅ/E_NN  　/W  ｔｈｅ/E_DT  　/W  ｍｏｔｉｏｎ/E_NN  ．/W""}
",100,1460,endAudioData
/mnt/sdcard/pcm/English/Album/00000007_code.pcm,1484627720458,1484627721809,1484627721760,1484627722113,MSG_Result,353,云端,0,"Layout and head for the stars.",none,"{""debug"":{""sid"":""iat9cba8fff@ch01ed0bd8eb073d8900""},""nlp_score"":-13,""operation"":"""",""pk_fea"":{""gram_type"":""GENERAL"",""last_service"":"""",""used_hist_depth"":0},""pkscore"":0.67521969230984,""rc"":0,""score"":0.56666666269302,""semamticCostTime"":0,""semantic"":{""slots"":{""artist"":""ad for"",""song"":""the star""}},""service"":""music"",""serviceType"":""nlu"",""text"":""Layout and head for the stars."",""uuid"":""1905da0234762ebb3e8756c210455c3cquery"",""version"":""2.1.5.1047"",""wstext"":""ｌａｙｏｕｔ/E_NN  　/W  ａｎｄ/E_CC  　/W  ｈｅａｄ/E_NN  　/W  ｆｏｒ/E_IN  　/W  ｔｈｅ/E_DT  　/W  ｓｔａｒｓ/E_NNP  ．/W""}
",90,1820,endAudioData
/mnt/sdcard/pcm/English/Album/00000008_code.pcm,1484627723143,1484627724002,1484627723825,1484627724228,MSG_Result,403,云端,0,"For album I am.",none,"{""debug"":{""sid"":""iat9437a3ff@ch00930bd8eb0a3d8900""},""nlp_score"":-9.9804697036743,""operation"":""LAUNCH"",""pk_fea"":{""gram_type"":""GENERAL"",""last_service"":"""",""used_hist_depth"":0},""pkscore"":0.63846391464735,""rc"":0,""score"":0.33333331346512,""semamticCostTime"":0,""semantic"":{""slots"":{""waveband"":""am""}},""service"":""radio"",""serviceType"":""nlu"",""text"":""For album I am."",""uuid"":""9b17abb1467d124a213d38da1f1c548fquery"",""version"":""2.1.5.1047"",""wstext"":""ｆｏｒ/E_IN  　/W  ａｌｂｕｍ/E_NN  　/W  ｉ/E_PRP  　/W  ａｍ/E_VB  ．/W""}
",100,1330,endAudioData
/mnt/sdcard/pcm/English/Album/00000009_code.pcm,1484627725240,1484627726878,1484627726806,1484627727107,MSG_Result,301,云端,0,"Play album I cry when I laugh.",none,"{""answer"":{""text"":""这个还真不知道，要不帮你搜索下吧。"",""topic"":""unknown"",""type"":""T""},""debug"":{""sid"":""iat63f485ff@ch00f80bd8eb0c3d8900""},""operation"":""ANSWER"",""pkscore"":0,""rc"":0,""score"":0.1,""semamticCostTime"":0,""service"":""pattern"",""serviceType"":""cqa"",""text"":""Play album I cry when I laugh."",""uuid"":""c5c2f57096e3cb520bedf1a606051669query"",""wstext"":""ｐｌａｙ/E_NN  　/W  ａｌｂｕｍ/E_NN  　/W  ｉ/E_PRP  　/W  ｃｒｙ/E_NN  　/W  ｗｈｅｎ/E_WRB  　/W  ｉ/E_PRP  　/W  ｌａｕｇｈ/E_NN  ．/W""}
",80,2000,endAudioData
/mnt/sdcard/pcm/English/Album/00000010_code.pcm,1484627728118,1484627729270,1484627729241,1484627729642,MSG_Result,401,云端,0,"For real the last dance.",none,"{""answer"":{""text"":""这个还真不知道，要不帮你搜索下吧。"",""topic"":""unknown"",""type"":""T""},""debug"":{""sid"":""iat9cb912ff@ch00840bd8eb0f3d8900""},""operation"":""ANSWER"",""pkscore"":0,""rc"":0,""score"":0.1,""semamticCostTime"":0,""service"":""pattern"",""serviceType"":""cqa"",""text"":""For real the last dance."",""uuid"":""aef1705a2f6746801851066453c9e054query"",""wstext"":""ｆｏｒ/E_IN  　/W  ｒｅａｌ/E_JJ  　/W  ｔｈｅ/E_DT  　/W  ｌａｓｔ/E_JJ  　/W  ｄａｎｃｅ/E_NN  ．/W""}
",100,1620,endAudioData
/mnt/sdcard/pcm/English/Album/00000011_code.pcm,1484627730644,0,1484627731919,1484627732223,MSG_Result,304,云端,0,"Play out like that the dark.",none,"{""answer"":{""text"":""还真被你问倒了，要不帮你搜索下吧。"",""topic"":""unknown"",""type"":""T""},""debug"":{""sid"":""iat9cbbeeff@ch02960bd8eb123d8900""},""operation"":""ANSWER"",""pkscore"":0,""rc"":0,""score"":0.1,""semamticCostTime"":0,""service"":""pattern"",""serviceType"":""cqa"",""text"":""Play out like that the dark."",""uuid"":""82a1bc401bae34aa3f0036f25752d438query"",""wstext"":""ｐｌａｙ/E_NN  　/W  ｏｕｔ/E_NNP  　/W  ｌｉｋｅ/E_NN  　/W  ｔｈａｔ/E_DT  　/W  ｔｈｅ/E_DT  　/W  ｄａｒｋ/E_NN  ．/W""}
",90,0,endAudioData
/mnt/sdcard/pcm/English/Album/00000012_code.pcm,1484627733228,1484627734576,1484627734521,1484627734874,MSG_Result,353,云端,0,"Play out the mobile orchestra.",none,"{""answer"":{""text"":""这个问题，我问了一圈机器，都不会。咱还是搜索下吧。"",""topic"":""unknown"",""type"":""T""},""debug"":{""sid"":""iat9cb4f17f@ch01050bd8eb143d8900""},""operation"":""ANSWER"",""pkscore"":0,""rc"":0,""score"":0.1,""semamticCostTime"":0,""service"":""pattern"",""serviceType"":""cqa"",""text"":""Play out the mobile orchestra."",""uuid"":""154a0a1ed0f878ac7e1466415873ba58query"",""wstext"":""ｐｌａｙ/E_NN  　/W  ｏｕｔ/E_NNP  　/W  ｔｈｅ/E_DT  　/W  ｍｏｂｉｌｅ/E_NNP  　/W  ｏｒｃｈｅｓｔｒａ/E_NN  ．/W""}
",80,1930,endAudioData
/mnt/sdcard/pcm/English/Album/00000013_code.pcm,1484627735882,1484627737332,1484627737308,1484627737660,MSG_Result,352,云端,0,"For real and panic stations.",none,"{""answer"":{""text"":""不会不会，惭愧惭愧。搜索一下，应该就会。"",""topic"":""unknown"",""type"":""T""},""debug"":{""sid"":""iat94378a7f@ch03830bd8eb173d8900""},""operation"":""ANSWER"",""pkscore"":0,""rc"":0,""score"":0.1,""semamticCostTime"":0,""service"":""pattern"",""serviceType"":""cqa"",""text"":""For real and panic stations."",""uuid"":""0acc2276135fb7c6c8113ecafa99dfcdquery"",""wstext"":""ｆｏｒ/E_IN  　/W  ｒｅａｌ/E_JJ  　/W  ａｎｄ/E_CC  　/W  ｐａｎｉｃ/E_NN  　/W  ｓｔａｔｉｏｎｓ/E_NNS  ．/W""}
",100,1960,endAudioData
/mnt/sdcard/pcm/English/Album/00000014_code.pcm,1484627738674,1484627739820,1484627739787,1484627740139,MSG_Result,352,云端,0,"For real damn paper guns.",none,"{""debug"":{""sid"":""iat9cb1157e@ch02c90bd8eb1a3d8900""},""nlp_score"":-18.980470657349,""operation"":""LAUNCH"",""pk_fea"":{""gram_type"":""GENERAL"",""last_service"":"""",""used_hist_depth"":0},""pkscore"":0.59402715411447,""rc"":0,""score"":0.24000000953674,""semamticCostTime"":0,""semantic"":{""slots"":{""waveband"":""am""}},""service"":""radio"",""serviceType"":""nlu"",""text"":""For real damn paper guns."",""uuid"":""767958f75b4a9afda07e4f5852e22cb8query"",""version"":""2.1.5.1047"",""wstext"":""ｆｏｒ/E_IN  　/W  ｒｅａｌ/E_JJ  　/W  ｄａｍｎ/E_NN  　/W  ｐａｐｅｒ/E_NN  　/W  ｇｕｎｓ/E_NNS  ．/W""}
",100,1640,endAudioData
/mnt/sdcard/pcm/English/Album/00000015_code.pcm,1484627741159,1484627742575,1484627742473,1484627742825,MSG_Result,352,云端,0,"Play out right here right now.",none,"{""answer"":{""text"":""不会不会，惭愧惭愧。搜索一下，应该就会。"",""topic"":""unknown"",""type"":""T""},""debug"":{""sid"":""iat8afc77fe@ch00b50bd8eb1c3d8900""},""operation"":""ANSWER"",""pkscore"":0,""rc"":0,""score"":0.1,""semamticCostTime"":0,""service"":""pattern"",""serviceType"":""cqa"",""text"":""Play out right here right now."",""uuid"":""3a1e3970f21987645dc73400a3e4b49aquery"",""wstext"":""ｐｌａｙ/E_NN  　/W  ｏｕｔ/E_NNP  　/W  ｒｉｇｈｔ/E_NN  　/W  ｈｅｒｅ/E_RB  　/W  ｒｉｇｈｔ/E_NN  　/W  ｎｏｗ/E_CC  ．/W""}
",90,1960,endAudioData
/mnt/sdcard/pcm/English/Album/00000016_code.pcm,1484627743832,1484627745087,1484627744985,1484627745486,MSG_Result,501,云端,0,"Layout of the original hi.",none,"{""answer"":{""text"":""这个还真不知道，要不帮你搜索下吧。"",""topic"":""unknown"",""type"":""T""},""debug"":{""sid"":""iat9dfdf2ff@ch03600bd8eb1f3d8900""},""operation"":""ANSWER"",""pkscore"":0,""rc"":0,""score"":0.1,""semamticCostTime"":0,""service"":""pattern"",""serviceType"":""cqa"",""text"":""Layout of the original hi."",""uuid"":""a76379efe233ca2749aeef5a6d50cf8fquery"",""wstext"":""ｌａｙｏｕｔ/E_NN  　/W  ｏｆ/E_OF  　/W  ｔｈｅ/E_DT  　/W  ｏｒｉｇｉｎａｌ/E_NN  　/W  ｈｉ/E_UH  ．/W""}
",80,1790,endAudioData
/mnt/sdcard/pcm/English/Album/00000017_code.pcm,1484627746488,0,1484627747805,1484627748165,MSG_Result,360,云端,0,"Layout and threatens survival.",none,"{""answer"":{""text"":""不太明白你的意思，还是帮你搜索下吧。"",""topic"":""unknown"",""type"":""T""},""debug"":{""sid"":""iat9cb768ff@ch01ff0bd8eb213d8900""},""operation"":""ANSWER"",""pkscore"":0,""rc"":0,""score"":0.1,""semamticCostTime"":0,""service"":""pattern"",""serviceType"":""cqa"",""text"":""Layout and threatens survival."",""uuid"":""e0ebc764bc64fffd116f8e66510d4bf2query"",""wstext"":""ｌａｙｏｕｔ/E_NN  　/W  ａｎｄ/E_CC  　/W  ｔｈｒｅａｔｅｎｓ/E_VBZ  　/W  ｓｕｒｖｉｖａｌ/E_NN  ．/W""}
",80,0,endAudioData
