pcm,time_Base,AudioTimeLength,time_SpeechStart,time_SpeechEnd,time_EndAudioData,time_Result,result_status,time_resume,ISR_Mode, other, Result_content,rc,Confidence_score,Result
/usb1/PcmRes/isr/400/shiqu/LSA/C3/hight_c3_1s_5s/hight_c3_1s_5s_7_encode.pcm,1140523994,7510,1140525447,1030,0,1140527862,MSG_Result,1358,1,0,我想去胡家庙。,0,0,"{""bislocalresult"":""1"",""language"":""zh_cn_mandarin"",""nlocalconfidencescore"":""0"",""operation"":""ROUTE"",""pk_score"":1,""rc"":0,""semantic"":{""slots"":{""endLoc"":{""city"":""CURRENT_CITY"",""ori_loc"":""胡家庙"",""poi"":""胡家庙"",""type"":""LOC_POI""},""startLoc"":{""city"":""CURRENT_CITY"",""poi"":""CURRENT_POI"",""type"":""LOC_POI""}}},""service"":""map"",""text"":""我想去胡家庙。"",""version"":""3.5.0.1190""}
"
/usb1/PcmRes/isr/400/jiaoqu/C3/LSA/low_c3_2.5s_3.5s/low_c3_2.5s_3.5s_167_encode.pcm,1140527991,8671,1140530955,982,0,1140534703,MSG_Result,1541,1,0,我要到长江路与天山路交叉口。,0,0,"{""bislocalresult"":""1"",""language"":""zh_cn_mandarin"",""nlocalconfidencescore"":""0"",""operation"":""ROUTE"",""pk_score"":1,""rc"":0,""semantic"":{""slots"":{""endLoc"":{""city"":""CURRENT_CITY"",""ori_loc"":""长江路与天山路交叉口"",""street"":""长江路"",""streets"":""天山路"",""type"":""LOC_CROSS""},""startLoc"":{""city"":""CURRENT_CITY"",""poi"":""CURRENT_POI"",""type"":""LOC_POI""}}},""service"":""map"",""text"":""我要到长江路与天山路交叉口。"",""version"":""3.5.0.1190""}
"
/usb1/PcmRes/isr/400/jiaoqu/C4/LSA/low_c4_2.5s_3.5s/low_c4_2.5s_3.5s_164_encode.pcm,1140534814,10041,1140537866,1010,0,1140543413,MSG_Result,2058,1,0,我要去白米巷胡同合肥剪子巷交叉路口。,0,0,"{""bislocalresult"":""1"",""language"":""zh_cn_mandarin"",""nlocalconfidencescore"":""0"",""operation"":""ROUTE"",""pk_score"":0.6706000000000001,""rc"":0,""semantic"":{""slots"":{""endLoc"":{""city"":""CURRENT_CITY"",""ori_loc"":""白米巷胡同合肥剪子巷交叉路口"",""street"":""白米巷胡同"",""streets"":""合肥剪子巷"",""type"":""LOC_CROSS""},""startLoc"":{""city"":""CURRENT_CITY"",""poi"":""CURRENT_POI"",""type"":""LOC_POI""}}},""service"":""map"",""text"":""我要去白米巷胡同合肥剪子巷交叉路口。"",""version"":""3.5.0.1190""}
"
/usb1/PcmRes/isr/400/shiqu/LSA/C4/hight_c4_1s_5s/hight_c4_1s_5s_27_encode.pcm,1140543529,9579,1140544982,945,0,1140549497,MSG_Result,1389,1,0,导航到振兴路与霞新路交叉口。,0,0,"{""bislocalresult"":""1"",""language"":""zh_cn_mandarin"",""nlocalconfidencescore"":""0"",""operation"":""ROUTE"",""pk_score"":0.8769,""rc"":0,""semantic"":{""slots"":{""endLoc"":{""city"":""CURRENT_CITY"",""ori_loc"":""振兴路与霞新路交叉口"",""street"":""振兴路"",""streets"":""霞新路"",""type"":""LOC_CROSS""},""startLoc"":{""city"":""CURRENT_CITY"",""poi"":""CURRENT_POI"",""type"":""LOC_POI""}}},""service"":""map"",""text"":""导航到振兴路与霞新路交叉口。"",""version"":""3.5.0.1190""}
"
/usb1/PcmRes/isr/400/shiqu/LSA/C4/hight_c4_1s_5s/hight_c4_1s_5s_1_encode.pcm,1140549584,8293,1140551035,1041,0,1140554457,MSG_Result,1580,1,0,我要到江苏东台市政府。,0,0,"{""bislocalresult"":""1"",""language"":""zh_cn_mandarin"",""nlocalconfidencescore"":""0"",""operation"":""ROUTE"",""pk_score"":1,""rc"":0,""semantic"":{""slots"":{""endLoc"":{""city"":""CURRENT_CITY"",""ori_loc"":""江苏东台市政府"",""poi"":""东台市政府"",""province"":""江苏省"",""provinceAddr"":""江苏"",""type"":""LOC_POI""},""startLoc"":{""city"":""CURRENT_CITY"",""poi"":""CURRENT_POI"",""type"":""LOC_POI""}}},""service"":""map"",""text"":""我要到江苏东台市政府。"",""version"":""3.5.0.1190""}
"
/usb1/PcmRes/isr/400/jiaoqu/C4/LSA/low_c4_2s_4s/low_c4_2s_4s_321_encode.pcm,1140554544,7589,1140557115,1155,0,1140559879,MSG_Result,1746,1,0,我想去杭州日报社。,0,0,"{""bislocalresult"":""1"",""language"":""zh_cn_mandarin"",""nlocalconfidencescore"":""0"",""operation"":""ROUTE"",""pk_score"":0.7000000000000001,""rc"":0,""semantic"":{""slots"":{""endLoc"":{""city"":""杭州市"",""cityAddr"":""杭州"",""ori_loc"":""杭州日报社"",""poi"":""日报社"",""type"":""LOC_POI""},""startLoc"":{""city"":""CURRENT_CITY"",""poi"":""CURRENT_POI"",""type"":""LOC_POI""}}},""service"":""map"",""text"":""我想去杭州日报社。"",""version"":""3.5.0.1190""}
"
/usb1/PcmRes/isr/400/shiqu/LSA/C4/hight_c4_2s_4s/hight_c4_2s_4s_188_encode.pcm,1140559973,8642,1140562456,1110,0,1140566092,MSG_Result,1477,1,0,我要到京港澳高速岳阳东收费站。,0,0,"{""bislocalresult"":""1"",""language"":""zh_cn_mandarin"",""nlocalconfidencescore"":""0"",""operation"":""ROUTE"",""pk_score"":0.6143000000000001,""rc"":0,""semantic"":{""slots"":{""endLoc"":{""city"":""岳阳市"",""cityAddr"":""岳阳"",""ori_loc"":""京港澳高速岳阳东"",""poi"":""岳阳东"",""street"":""京港澳高速"",""type"":""LOC_POI""},""startLoc"":{""city"":""CURRENT_CITY"",""poi"":""CURRENT_POI"",""type"":""LOC_POI""}}},""service"":""map"",""text"":""我要到京港澳高速岳阳东收费站。"",""version"":""3.5.0.1190""}
"
/usb1/PcmRes/isr/400/jiaoqu/C4/LSA/hight_c4_0.5s_5.5s/hight_c4_0.5s_5.5s_30_encode.pcm,1140566193,9061,1140567325,1113,0,1140571355,MSG_Result,1601,1,0,我要去遇到街与大宝路交叉口。,0,0,"{""bislocalresult"":""1"",""language"":""zh_cn_mandarin"",""nlocalconfidencescore"":""0"",""operation"":""ROUTE"",""pk_score"":0.7538,""rc"":0,""semantic"":{""slots"":{""endLoc"":{""city"":""CURRENT_CITY"",""ori_loc"":""遇到街与大宝路交叉口"",""street"":""遇到街"",""streets"":""大宝路"",""type"":""LOC_CROSS""},""startLoc"":{""city"":""CURRENT_CITY"",""poi"":""CURRENT_POI"",""type"":""LOC_POI""}}},""service"":""map"",""text"":""我要去遇到街与大宝路交叉口。"",""version"":""3.5.0.1190""}
"
/usb1/PcmRes/isr/400/jiaoqu/C4/LSA/hight_c4_2.5s_3.5s/hight_c4_2.5s_3.5s_213_encode.pcm,1140571446,9297,1140574409,1159,0,1140578782,MSG_Result,1539,1,0,我要去安定路和安定门外大街交口。,0,0,"{""bislocalresult"":""1"",""language"":""zh_cn_mandarin"",""nlocalconfidencescore"":""0"",""operation"":""ROUTE"",""pk_score"":1,""rc"":0,""semantic"":{""slots"":{""endLoc"":{""city"":""CURRENT_CITY"",""ori_loc"":""安定路和安定门外大街交口"",""street"":""安定路"",""streets"":""安定门外大街"",""type"":""LOC_CROSS""},""startLoc"":{""city"":""CURRENT_CITY"",""poi"":""CURRENT_POI"",""type"":""LOC_POI""}}},""service"":""map"",""text"":""我要去安定路和安定门外大街交口。"",""version"":""3.5.0.1190""}
"
/usb1/PcmRes/isr/400/jiaoqu/C3/LSA/hight_c3_1s_5s/hight_c3_1s_5s_117_encode.pcm,1140578877,7882,1140580329,1115,0,1140583487,MSG_Result,1728,1,0,我要去电子商贸城。,0,0,"{""bislocalresult"":""1"",""language"":""zh_cn_mandarin"",""nlocalconfidencescore"":""0"",""operation"":""ROUTE"",""pk_score"":0.5,""rc"":0,""semantic"":{""slots"":{""endLoc"":{""city"":""CURRENT_CITY"",""ori_loc"":""电子商贸城"",""poi"":""电子商贸城"",""type"":""LOC_POI""},""startLoc"":{""city"":""CURRENT_CITY"",""poi"":""CURRENT_POI"",""type"":""LOC_POI""}}},""service"":""map"",""text"":""我要去电子商贸城。"",""version"":""3.5.0.1190""}
"
