用户说法,user_data
搜索李玉刚的歌曲,返回|主界面|通知栏|网络|声音|显示|导航|语音|系统|行车|蓝牙|无设备连接|已连接|断开连接|连接|热点|分享网络|移动数据
换个新贵妃醉酒,返回|主界面|通知栏|网络|声音|显示|导航|语音|系统|行车|蓝牙|无设备连接|已连接|断开连接|连接|热点|分享网络|移动数据
不要李玉刚唱的,返回|主界面|通知栏|媒体库|我的收藏|最近播放|新贵妃醉酒|搜索歌手|李玉刚|收藏歌曲|上一首|播放|下一首|播放列表
换他唱的别的歌,返回|主界面|通知栏|媒体库|我的收藏|最近播放|新贵妃醉酒|搜索歌手|吴克羣|收藏歌曲|上一首|播放|下一首|播放列表
我想点一首尚雯婕的歌,返回|主界面|通知栏|媒体库|我的收藏|最近播放|为你写诗|搜索歌手|吴克羣|收藏歌曲|上一首|播放|下一首|播放列表
想听她的最火的歌,返回|主界面|通知栏|媒体库|我的收藏|最近播放|搜索歌手|尚雯婕|收藏歌曲|上一首|播放|下一首|播放列表
换个人唱的这首歌,返回|主界面|通知栏|媒体库|我的收藏|最近播放|最终信仰|搜索歌手|尚雯婕|收藏歌曲|上一首|播放|下一首|播放列表
不想听他唱的了,返回|主界面|通知栏|媒体库|我的收藏|最近播放|最终信仰|搜索歌手|尚雯婕|收藏歌曲|上一首|播放|下一首|播放列表
他还有别的好听的歌吗,返回|主界面|通知栏|媒体库|我的收藏|最近播放|最终信仰|搜索歌手|尚雯婕|收藏歌曲|上一首|暂停|下一首|播放列表
我想听慢摇的歌曲,返回|主界面|通知栏|媒体库|我的收藏|最近播放|战|搜索歌手|尚雯婕|收藏歌曲|上一首|播放|下一首|播放列表
换一个有歌词的歌曲,返回|主界面|通知栏|媒体库|我的收藏|最近播放|默契慢摇|搜索歌手|收藏歌曲|上一首|播放|下一首|播放列表
来个英文版的,返回|主界面|通知栏|媒体库|我的收藏|最近播放|默契慢摇|搜索歌手|收藏歌曲|上一首|暂停|下一首|播放列表
不想听他唱的，换个人唱的听听,返回|主界面|通知栏|媒体库|我的收藏|最近播放|默契慢摇|搜索歌手|收藏歌曲|上一首|暂停|下一首|播放列表
请播放历史我的小丫小苹果,返回|主界面|通知栏|媒体库|我的收藏|最近播放|默契慢摇|搜索歌手|收藏歌曲|上一首|暂停|下一首|播放列表
循环播放我的历史歌曲,返回|主界面|通知栏|媒体库|我的收藏|最近播放|默契慢摇|搜索歌手|收藏歌曲|上一首|暂停|下一首|播放列表
播放我的历史歌曲中的轻音乐,返回|主界面|通知栏|媒体库|我的收藏|最近播放|我的历史|搜索歌手|萧正楠|收藏歌曲|上一首|播放|下一首|播放列表
搜索歌曲那就这样吧,返回|主界面|通知栏|媒体库|我的收藏|最近播放|我的历史|搜索歌手|萧正楠|收藏歌曲|上一首|播放|下一首|播放列表
换下一首歌曲,返回|主界面|通知栏|媒体库|我的收藏|最近播放|那就这样吧|搜索歌手|汤川|收藏歌曲|上一首|播放|下一首|播放列表
不想听这个人唱的，换个人唱的听听,返回|主界面|通知栏|媒体库|我的收藏|最近播放|流溪河边的小茅屋|搜索歌手|刘宇斐|收藏歌曲|上一首|播放|下一首|播放列表
听英文版的那就这样吧,返回|主界面|通知栏|媒体库|我的收藏|最近播放|流溪河边的小茅屋|搜索歌手|刘宇斐|收藏歌曲|上一首|播放|下一首|播放列表
不想听英文版的了，换个轻音乐吧,返回|主界面|通知栏|媒体库|我的收藏|最近播放|搜索歌手|收藏歌曲|上一首|播放|下一首|播放列表
爱情买卖,返回|主界面|通知栏|媒体库|我的收藏|最近播放|搜索歌手|收藏歌曲|上一首|暂停|下一首|播放列表
换个人唱的,返回|主界面|通知栏|媒体库|我的收藏|最近播放|搜索歌手|收藏歌曲|上一首|暂停|下一首|播放列表
DJ版的有吗,返回|主界面|通知栏|媒体库|我的收藏|最近播放|一个人|搜索歌手|夏婉安|收藏歌曲|上一首|播放|下一首|播放列表
放个他唱的其他歌,返回|主界面|通知栏|媒体库|我的收藏|最近播放|搜索歌手|收藏歌曲|上一首|播放|下一首|播放列表
我要听歌儿,返回|主界面|通知栏|媒体库|我的收藏|最近播放|搜索歌手|收藏歌曲|上一首|暂停|下一首|播放列表
听英文歌,返回|主界面|通知栏|媒体库|我的收藏|最近播放|行走的力量|搜索歌手|李荣浩|收藏歌曲|上一首|播放|下一首|播放列表
听Justin Bieber的歌,返回|主界面|通知栏|媒体库|我的收藏|最近播放|搜索歌手|收藏歌曲|上一首|播放|下一首|播放列表
有没有他唱的温柔一点的歌,返回|主界面|通知栏|媒体库|我的收藏|最近播放|搜索歌手|收藏歌曲|上一首|暂停|下一首|播放列表
播放音乐我可以抱你吗宝贝,返回|主界面|通知栏|媒体库|我的收藏|最近播放|爱一点|搜索歌手|王力宏章子怡|收藏歌曲|上一首|播放|下一首|播放列表
换个他唱的其他歌,返回|主界面|通知栏|媒体库|我的收藏|最近播放|我可以抱你吗|搜索歌手|张惠妹|收藏歌曲|上一首|播放|下一首|播放列表
暂停一下,返回|主界面|通知栏|媒体库|我的收藏|最近播放|听海|搜索歌手|张惠妹|收藏歌曲|上一首|播放|下一首|播放列表
帮我收藏这首歌,返回|主界面|通知栏|媒体库|我的收藏|最近播放|听海|搜索歌手|张惠妹|收藏歌曲|上一首|暂停|下一首|播放列表
换下一首吧,返回|主界面|通知栏|媒体库|我的收藏|最近播放|听海|搜索歌手|张惠妹|收藏歌曲|上一首|暂停|下一首|播放列表
我想听爱朵唱的歌,返回|主界面|通知栏|媒体库|我的收藏|最近播放|如果寂寞了|搜索歌手|阿光|收藏歌曲|上一首|播放|下一首|播放列表
声音太大了吧,返回|主界面|通知栏|媒体库|我的收藏|最近播放|如果寂寞了|搜索歌手|阿光|收藏歌曲|上一首|播放|下一首|播放列表
下一曲下一曲,返回|主界面|通知栏|媒体库|我的收藏|最近播放|如果寂寞了|搜索歌手|阿光|收藏歌曲|上一首|暂停|下一首|播放列表
收藏这首吧,返回|主界面|通知栏|媒体库|我的收藏|最近播放|如果寂寞了|搜索歌手|阿光|收藏歌曲|上一首|暂停|下一首|播放列表
歌曲妈妈，我想你,返回|主界面|通知栏|媒体库|我的收藏|最近播放|如果寂寞了|搜索歌手|阿光|收藏歌曲|上一首|播放|下一首|播放列表
换下一首,返回|主界面|通知栏|媒体库|我的收藏|最近播放|妈妈我想你|搜索歌手|汤潮|收藏歌曲|上一首|播放|下一首|播放列表
先把歌曲暂停一下,返回|主界面|通知栏|媒体库|我的收藏|最近播放|行走的力量|搜索歌手|李荣浩|收藏歌曲|上一首|播放|下一首|播放列表
有别的人唱的吗,返回|主界面|通知栏|电话|电台|导航|音乐|设置|应用列表
崔健的歌,返回|主界面|通知栏|电话|电台|导航|音乐|设置|应用列表
放他唱的情歌,返回|主界面|通知栏|媒体库|我的收藏|最近播放|一无所有|搜索歌手|崔健|收藏歌曲|上一首|播放|下一首|播放列表
帮我把这首歌收藏一下,返回|主界面|通知栏|媒体库|我的收藏|最近播放|情歌|搜索歌手|胥拉齐|收藏歌曲|上一首|播放|下一首|播放列表
换下一首歌曲,返回|主界面|通知栏|媒体库|我的收藏|最近播放|情歌|搜索歌手|胥拉齐|收藏歌曲|上一首|播放|下一首|播放列表
播放护花使者,返回|主界面|通知栏|媒体库|我的收藏|最近播放|你最珍贵|搜索歌手|张学友|收藏歌曲|上一首|播放|下一首|播放列表
换个其他人唱的,返回|主界面|通知栏|媒体库|我的收藏|最近播放|护花使者|搜索歌手|李克勤|收藏歌曲|上一首|播放|下一首|播放列表
换个英文版的,返回|主界面|通知栏|媒体库|我的收藏|最近播放|护花使者|搜索歌手|收藏歌曲|上一首|播放|下一首|播放列表
随便放个外语版的,返回|主界面|通知栏|媒体库|我的收藏|最近播放|护花使者|搜索歌手|收藏歌曲|上一首|暂停|下一首|播放列表
换下一首,返回|主界面|通知栏|媒体库|我的收藏|最近播放|护花使者|搜索歌手|收藏歌曲|上一首|暂停|下一首|播放列表
请放亲爱的小孩,返回|主界面|通知栏|媒体库|我的收藏|最近播放|董小姐|搜索歌手|宋冬野|收藏歌曲|上一首|播放|下一首|播放列表
