用户说法,user_data
导航去云浮市,返回|主界面|通知栏|应用列表
就是位于迎宾路的云浮市,返回|主界面|通知栏|云浮市|距离124|地址云浮市广东省云浮市云城区迎宾路
搜索迎宾路的云浮市附近的加油站,返回|主界面|通知栏|云浮市|距离124|地址云浮市广东省云浮市云城区迎宾路
选择距离近的,返回|主界面|通知栏|加油站黄埔大道中|广州市黄埔大道中413号|东圃加油站|广州市中山大道997号|新圃加油站|广州市中山大道中247|东安加油站|广州市中山大道西903|爱德加油站|广州市中山大道中993
开始导航,返回|主界面|通知栏|加油站黄埔大道中|广州市黄埔大道中413号|东圃加油站|广州市中山大道997号|新圃加油站|广州市中山大道中247|东安加油站|广州市中山大道西903|爱德加油站|广州市中山大道中993
带我去乐亭南收费站,返回|主界面|通知栏|缩小图面|放大图面|仅供测试
取消，搜索离乐亭南收费站附近的理发店,返回|主界面|通知栏|乐亭南收费站012沿海高速入口唐海方向|唐山市乐亭县|乐亭南收费站012沿海高速出口乐亭南方向
带我去最近的那家,返回|主界面|通知栏|格式美发造型|唐山市乐亭县|名流造型|多多福美容美体养生馆|敬华美发|炫彩美容美发兴旺路
导航,返回|主界面|通知栏|富安娜家纺飞霞北路|距离19|地址温州市飞霞北路317号
我要去彭州白鹿镇,返回|主界面|通知栏|路线偏好|时间最短|8小时34分钟|742公里|红绿灯13个|收费430元|距离最短|8小时48分钟|732公里|开始导航|设置车牌避开南京市外地车限行|缩小图面|放大图面|仅供测试
那就去村民委员会,返回|主界面|通知栏|白鹿镇|距离193|地址成都市彭州市
是白鹿村村委会，不是回水村的,返回|主界面|通知栏|正源乡辕门村民委员会|广元市旺苍县|茶园乡茶园村民委员会|白水镇卢家坝村村民委员会|剑门关镇剑雄村村民委员会|广元市剑阁县|青川县青溪镇阴平村民委员会|广元市青川县
走最近的路线,返回|主界面|通知栏|正源乡辕门村民委员会|广元市旺苍县|茶园乡茶园村民委员会|白水镇卢家坝村村民委员会|剑门关镇剑雄村村民委员会|广元市剑阁县|青川县青溪镇阴平村民委员会|广元市青川县
导航开始吧,返回|主界面|通知栏|剑门关镇剑雄村村民委员会|距离10|地址广元市剑阁县
帮我导航到江北机场,返回|主界面|通知栏|加载中
搜索江北机场附近的酒店,返回|主界面|通知栏|重庆江北国际机场|重庆城区两路镇机场路|重庆江北国际机场1航站楼|重庆城区两路镇重庆江北国际机场|重庆江北国际机场2航站楼
选择价格最低的,返回|主界面|通知栏|万达酒店昆明长水机场店|官渡区大板桥镇二甲村近长水机场附近距离昆明长水机场仅1015分钟车程|详情下拉图片|昆明长水机场旅居精品酒店|大板桥镇五甲新村内酒店提供24小时免费接送机服务距离机场810分钟车程|昆明长水机场宝利莱酒店|昆明官渡区长水机场商圈内大板桥镇汉正街近长水机场|昆明好在来酒店长水机场|大板桥街道办事320国道与机场高速入口交叉口|昆明金盛度假酒店长水机场店|昆明长水机场花箐村53号提供24小时免费接送机服务距离机场58分钟车程
导航吧,返回|主界面|通知栏|万达酒店昆明长水机场店|官渡区大板桥镇二甲村近长水机场附近距离昆明长水机场仅1015分钟车程|详情下拉图片|昆明长水机场旅居精品酒店|大板桥镇五甲新村内酒店提供24小时免费接送机服务距离机场810分钟车程|昆明长水机场宝利莱酒店|昆明官渡区长水机场商圈内大板桥镇汉正街近长水机场|昆明好在来酒店长水机场|大板桥街道办事320国道与机场高速入口交叉口|昆明金盛度假酒店长水机场店|昆明长水机场花箐村53号提供24小时免费接送机服务距离机场58分钟车程
前往山东省济南市商河县,返回|主界面|通知栏|路线偏好|距离最短|15小时32分钟|1362公里|红绿灯8个|收费715元|收费较少|15小时55分钟|1411公里|开始导航|设置车牌避开十堰市外地车限行|缩小图面|放大图面|仅供测试
就是明辉路的商河县,返回|主界面|通知栏|商河县|距离1619|地址济南市山东省济南市商河县明辉路
搜索商河县附近的景点,返回|主界面|通知栏|商河县|距离1619|地址济南市山东省济南市商河县明辉路
我要去免费的,返回|主界面|通知栏|古城遗址|济南市商河县|汉墓群|清真寺
可以导航了,返回|主界面|通知栏|古城遗址|济南市商河县|汉墓群|清真寺
我想去徐州走高速,返回|主界面|通知栏|路线偏好|距离最短|15小时32分钟|1362公里|红绿灯8个|收费715元|收费较少|15小时55分钟|1411公里|开始导航|设置车牌避开十堰市外地车限行|缩小图面|放大图面|仅供测试
我想去加油站,返回|主界面|通知栏|徐州市|距离760|地址徐州市江苏省徐州市云龙区汉风路
