nli_text,mode,nli_out_result
我要去科学家园,local,"{""answer"":{""text"":""没有为您找到科学家园请重新输入目的地""},""data"":{""result"":null},""demand_semantic"":{""endLoc.ori_loc"":""科学家园"",""service"":""mapU""},""dialog_stat"":""DataValid"",""extra"":{""data_finded_match"":false,""match_gram"":""general_gram"",""multi_service"":null,""nlp_match_info"":""-------"",""nlp_match_score"":""1.000"",""nlp_score"":""0.000"",""org_sent"":""我要去科学家园"",""search_mapU_info"":{""endLoc"":""gaode""},""state_winner"":null,""trim_sent"":""我要去科学家园"",""used_hist_depth"":0,""user_data"":{""cmd::default"":{""activeStatus"":""fg"",""sceneStatus"":""default""},""serialNo"":""AIUI5101000003_20171228142158920"",""viewCmd::default"":{""activeStatus"":""bg"",""data"":{""hotInfo"":{""viewCmd"":"""
第二个,local,"{""data"":{""result"":null},""demand_semantic"":{""operation"":""POS_RANK"",""posRank.direct"":""+"",""posRank.offset"":""二"",""posRank.ref"":""ZERO"",""service"":""mapU""},""extra"":{""data_finded_match"":false,""match_gram"":""map_common_tc"",""multi_service"":null,""nlp_match_info"":""---"",""nlp_match_score"":""1.000"",""nlp_score"":""0.000"",""org_sent"":""第二个"",""state_winner"":null,""trim_sent"":""第二个"",""used_hist_depth"":0,""user_data"":{""cmd::default"":{""activeStatus"":""bg"",""sceneStatus"":""default""},""mapU::poiSearch"":{""activeStatus"":""fg"",""data"":{""dataInfo"":{""end_poi"":{""address"":"""
关闭导航,local,"{""data"":{""result"":null},""demand_semantic"":{""insType"":""CLOSE_MAP"",""service"":""mapU""},""dialog_stat"":""DataValid"",""extra"":{""data_finded_match"":false,""match_gram"":""general_gram"",""multi_service"":null,""nlp_match_info"":""----"",""nlp_match_score"":""1.000"",""nlp_score"":""0.000"",""org_sent"":""关闭导航"",""state_winner"":null,""trim_sent"":""关闭导航"",""used_hist_depth"":0,""user_data"":{""cmd::default"":{""activeStatus"":""bg"",""sceneStatus"":""default""},""mapU::poiSearch"":{""activeStatus"":""fg"",""data"":{""dataInfo"":{""end_poi"":{""address"":"""
我要听安徽交通广播,local,"{""answer"":{""text"":""播放安徽交通广播""},""data"":{""result"":null},""demand_semantic"":{""name"":""安徽交通广播"",""nameOrig"":""安徽交通广播"",""operation"":""LAUNCH"",""service"":""radio""},""dialog_stat"":""dataInvalid"",""extra"":{""data_finded_match"":false,""match_gram"":""general_gram"",""multi_service"":null,""nlp_match_info"":""---------"",""nlp_match_score"":""1.000"",""nlp_score"":""0.000"",""org_sent"":""我要听安徽交通广播"",""state_winner"":null,""trim_sent"":""我要听安徽交通广播"",""used_hist_depth"":0,""user_data"":{""cmd::default"":{""activeStatus"":""fg"",""sceneStatus"":""default""},""serialNo"":""AIUI5101000003_20171228142209981"",""viewCmd::default"":{""activeStatus"":""bg"",""data"":{""hotInfo"":{""viewCmd"":"""
麻烦帮我查一下油耗,local,"{""data"":{""result"":null},""demand_semantic"":{""man_intv:DEL"":""麻烦帮我查一下油耗"",""service"":""mapU""},""extra"":{""data_finded_match"":false,""match_gram"":""general_gram"",""multi_service"":""true"",""nlp_match_info"":""---------"",""nlp_match_score"":""1.000"",""nlp_score"":""0.000"",""org_sent"":""麻烦帮我查一下油耗"",""state_winner"":null,""trim_sent"":""麻烦帮我查一下油耗"",""used_hist_depth"":0,""user_data"":{""cmd::default"":{""activeStatus"":""fg"",""sceneStatus"":""default""},""radio::default"":{""activeStatus"":""bg"",""sceneStatus"":""paused""},""serialNo"":""AIUI5101000003_20171228142213371"",""viewCmd::default"":{""activeStatus"":""bg"",""data"":{""hotInfo"":{""viewCmd"":"""
我的平均油耗是多少,local,"{""data"":{""result"":null},""demand_semantic"":null,""extra"":{""data_finded_match"":false,""match_gram"":""general_gram"",""multi_service"":null,""nlp_match_info"":""#--------"",""nlp_match_score"":""0.889"",""nlp_score"":""-0.999"",""org_sent"":""我的平均油耗是多少"",""trim_sent"":""我的平均油耗是多少"",""used_hist_depth"":0,""user_data"":{""cmd::default"":{""activeStatus"":""bg"",""sceneStatus"":""default""},""radio::default"":{""activeStatus"":""fg"",""sceneStatus"":""paused""},""serialNo"":""AIUI5101000003_20171228142216602"",""viewCmd::default"":{""activeStatus"":""bg"",""data"":{""hotInfo"":{""viewCmd"":"""
我要听周杰伦的歌,local,"{""answer"":{""text"":""没有为您找到周杰伦的歌曲,换个歌手试试吧""},""data"":{""result"":null},""demand_semantic"":{""artist"":""周杰伦"",""operation"":""PLAY"",""service"":""musicX""},""dialog_stat"":""dataInvalid"",""extra"":{""data_finded_match"":false,""match_gram"":""general_gram"",""multi_service"":null,""nlp_match_info"":""--------"",""nlp_match_score"":""1.000"",""nlp_score"":""0.051"",""org_sent"":""我要听周杰伦的歌"",""state_winner"":null,""trim_sent"":""我要听周杰伦的歌"",""used_hist_depth"":0,""user_data"":{""cmd::default"":{""activeStatus"":""bg"",""sceneStatus"":""default""},""radio::default"":{""activeStatus"":""fg"",""sceneStatus"":""paused""},""serialNo"":""AIUI5101000003_20171228142219837"",""viewCmd::default"":{""activeStatus"":""bg"",""data"":{""hotInfo"":{""viewCmd"":"""
下一首,local,"{""answer"":{""text"":""已为您切换到下一首""},""data"":{""result"":null},""demand_semantic"":{""insType"":""NEXT"",""service"":""musicX""},""dialog_stat"":""dataInvalid"",""extra"":{""data_finded_match"":false,""match_gram"":""musicX_gc"",""multi_service"":null,""nlp_match_info"":""---"",""nlp_match_score"":""1.000"",""nlp_score"":""0.000"",""org_sent"":""下一首"",""state_winner"":null,""trim_sent"":""下一首"",""used_hist_depth"":0,""user_data"":{""cmd::default"":{""activeStatus"":""bg"",""sceneStatus"":""default""},""musicX::default"":{""activeStatus"":""fg"",""sceneStatus"":""paused""},""serialNo"":""AIUI5101000003_20171228142223291"",""viewCmd::default"":{""activeStatus"":""bg"",""data"":{""hotInfo"":{""viewCmd"":"""
音量增大,local,"{""data"":{""result"":null},""demand_semantic"":null,""extra"":{""data_finded_match"":false,""match_gram"":""general_gram"",""multi_service"":null,""nlp_match_info"":""----"",""nlp_match_score"":""1.000"",""nlp_score"":""0.000"",""org_sent"":""音量增大"",""trim_sent"":""音量增大"",""used_hist_depth"":0,""user_data"":{""cmd::default"":{""activeStatus"":""fg"",""sceneStatus"":""default""},""musicX::default"":{""activeStatus"":""bg"",""sceneStatus"":""paused""},""radio::default"":{""activeStatus"":""bg"",""sceneStatus"":""paused""},""serialNo"":""AIUI5101000003_2017122814223330"",""viewCmd::default"":{""activeStatus"":""bg"",""data"":{""hotInfo"":{""viewCmd"":"""
下一首,local,"{""answer"":{""text"":""已为您切换到下一首""},""data"":{""result"":null},""demand_semantic"":{""insType"":""NEXT"",""service"":""musicX""},""dialog_stat"":""dataInvalid"",""extra"":{""data_finded_match"":false,""match_gram"":""musicX_gc"",""multi_service"":""true"",""nlp_match_info"":""---"",""nlp_match_score"":""1.000"",""nlp_score"":""0.000"",""org_sent"":""下一首"",""state_winner"":null,""trim_sent"":""下一首"",""used_hist_depth"":0,""user_data"":{""cmd::default"":{""activeStatus"":""bg"",""sceneStatus"":""default""},""musicX::default"":{""activeStatus"":""fg"",""sceneStatus"":""paused""},""serialNo"":""AIUI5101000003_20171228142223291"",""viewCmd::default"":{""activeStatus"":""bg"",""data"":{""hotInfo"":{""viewCmd"":"""
