用户说法,user_data
搜索李玉刚的歌曲,"{""HotWords"":[""返回"",""主界面"",""通知栏"",""网络"",""声音"",""显示"",""导航"",""语音"",""系统"",""行车"",""蓝牙"",""无设备连接"",""已连接"",""断开连接"",""连接"",""热点"",""分享网络"",""移动数据""],""UserData"":{""serialNo"":""M1AT020102000007_20170531163244208"",""cmd::default"":{""data"":{""hotInfo"":{""viewCmd"":""返回|主界面|通知栏|网络|声音|显示|导航|语音|系统|行车|蓝牙|无设备连接|已连接|断开连接|连接|热点|分享网络|移动数据""}},""activeStatus"":""fg"",""sceneStatus"":""default""}}}"
换个新贵妃醉酒,"{""HotWords"":[""返回"",""主界面"",""通知栏"",""网络"",""声音"",""显示"",""导航"",""语音"",""系统"",""行车"",""蓝牙"",""无设备连接"",""已连接"",""断开连接"",""连接"",""热点"",""分享网络"",""移动数据""],""UserData"":{""serialNo"":""M1AT020102000007_20170531163247921"",""musicX::default"":{""data"":{""dataInfo"":{""song"":""长安故事"",""itemid"":""58446192"",""artist"":""李玉刚""},""hotInfo"":{""viewCmd"":""返回|主界面|通知栏|网络|声音|显示|导航|语音|系统|行车|蓝牙|无设备连接|已连接|断开连接|连接|热点|分享网络|移动数据""}},""activeStatus"":""fg"",""sceneStatus"":""playing""}}}"
不要李玉刚唱的,"{""HotWords"":[""返回"",""主界面"",""通知栏"",""媒体库"",""我的收藏"",""最近播放"",""新贵妃醉酒"",""搜索歌手"",""李玉刚"",""收藏歌曲"",""上一首"",""播放"",""下一首"",""播放列表""],""UserData"":{""serialNo"":""M1AT020102000007_20170531163251604"",""musicX::default"":{""data"":{""dataInfo"":{""song"":""新贵妃醉酒"",""itemid"":""44802095"",""artist"":""李玉刚""},""hotInfo"":{""viewCmd"":""返回|主界面|通知栏|媒体库|我的收藏|最近播放|新贵妃醉酒|搜索歌手|李玉刚|收藏歌曲|上一首|播放|下一首|播放列表""}},""activeStatus"":""fg"",""sceneStatus"":""playing""}}}"
换他唱的别的歌,"{""HotWords"":[""返回"",""主界面"",""通知栏"",""媒体库"",""我的收藏"",""最近播放"",""新贵妃醉酒"",""搜索歌手"",""吴克羣"",""收藏歌曲"",""上一首"",""播放"",""下一首"",""播放列表""],""UserData"":{""serialNo"":""M1AT020102000007_20170531163256253"",""musicX::default"":{""data"":{""dataInfo"":{""song"":""新贵妃醉酒"",""itemid"":""7399707"",""artist"":""吴克羣""},""hotInfo"":{""viewCmd"":""返回|主界面|通知栏|媒体库|我的收藏|最近播放|新贵妃醉酒|搜索歌手|吴克羣|收藏歌曲|上一首|播放|下一首|播放列表""}},""activeStatus"":""fg"",""sceneStatus"":""playing""}}}"
我想点一首尚雯婕的歌,"{""HotWords"":[""返回"",""主界面"",""通知栏"",""媒体库"",""我的收藏"",""最近播放"",""为你写诗"",""搜索歌手"",""吴克羣"",""收藏歌曲"",""上一首"",""播放"",""下一首"",""播放列表""],""UserData"":{""serialNo"":""M1AT020102000007_20170531163259638"",""musicX::default"":{""data"":{""dataInfo"":{""song"":""为你写诗"",""itemid"":""41615639"",""artist"":""吴克羣""},""hotInfo"":{""viewCmd"":""返回|主界面|通知栏|媒体库|我的收藏|最近播放|为你写诗|搜索歌手|吴克羣|收藏歌曲|上一首|播放|下一首|播放列表""}},""activeStatus"":""fg"",""sceneStatus"":""playing""}}}"
想听她的最火的歌,"{""HotWords"":[""返回"",""主界面"",""通知栏"",""媒体库"",""我的收藏"",""最近播放"",""搜索歌手"",""尚雯婕"",""收藏歌曲"",""上一首"",""播放"",""下一首"",""播放列表""],""UserData"":{""serialNo"":""M1AT020102000007_20170531163303355"",""musicX::default"":{""data"":{""dataInfo"":{""song"":""Power+Plant"",""itemid"":""3314995"",""artist"":""尚雯婕""},""hotInfo"":{""viewCmd"":""返回|主界面|通知栏|媒体库|我的收藏|最近播放|搜索歌手|尚雯婕|收藏歌曲|上一首|播放|下一首|播放列表""}},""activeStatus"":""fg"",""sceneStatus"":""playing""}}}"
换个人唱的这首歌,"{""HotWords"":[""返回"",""主界面"",""通知栏"",""媒体库"",""我的收藏"",""最近播放"",""最终信仰"",""搜索歌手"",""尚雯婕"",""收藏歌曲"",""上一首"",""播放"",""下一首"",""播放列表""],""UserData"":{""serialNo"":""M1AT020102000007_20170531163306964"",""musicX::default"":{""data"":{""dataInfo"":{""song"":""最终信仰"",""itemid"":""28620318"",""artist"":""尚雯婕""},""hotInfo"":{""viewCmd"":""返回|主界面|通知栏|媒体库|我的收藏|最近播放|最终信仰|搜索歌手|尚雯婕|收藏歌曲|上一首|播放|下一首|播放列表""}},""activeStatus"":""fg"",""sceneStatus"":""playing""}}}"
不想听他唱的了,"{""HotWords"":[""返回"",""主界面"",""通知栏"",""媒体库"",""我的收藏"",""最近播放"",""最终信仰"",""搜索歌手"",""尚雯婕"",""收藏歌曲"",""上一首"",""播放"",""下一首"",""播放列表""],""UserData"":{""serialNo"":""M1AT020102000007_20170531163310378"",""musicX::default"":{""data"":{""dataInfo"":{""song"":""最终信仰"",""itemid"":""28672096"",""artist"":""尚雯婕""},""hotInfo"":{""viewCmd"":""返回|主界面|通知栏|媒体库|我的收藏|最近播放|最终信仰|搜索歌手|尚雯婕|收藏歌曲|上一首|播放|下一首|播放列表""}},""activeStatus"":""fg"",""sceneStatus"":""playing""}}}"
他还有别的好听的歌吗,"{""HotWords"":[""返回"",""主界面"",""通知栏"",""媒体库"",""我的收藏"",""最近播放"",""最终信仰"",""搜索歌手"",""尚雯婕"",""收藏歌曲"",""上一首"",""暂停"",""下一首"",""播放列表""],""UserData"":{""serialNo"":""M1AT020102000007_20170531163313681"",""musicX::default"":{""data"":{""dataInfo"":{""song"":""最终信仰"",""itemid"":""28672096"",""artist"":""尚雯婕""},""hotInfo"":{""viewCmd"":""返回|主界面|通知栏|媒体库|我的收藏|最近播放|最终信仰|搜索歌手|尚雯婕|收藏歌曲|上一首|暂停|下一首|播放列表""}},""activeStatus"":""fg"",""sceneStatus"":""playing""}}}"
我想听慢摇的歌曲,"{""HotWords"":[""返回"",""主界面"",""通知栏"",""媒体库"",""我的收藏"",""最近播放"",""战"",""搜索歌手"",""尚雯婕"",""收藏歌曲"",""上一首"",""播放"",""下一首"",""播放列表""],""UserData"":{""serialNo"":""M1AT020102000007_20170531163317906"",""musicX::default"":{""data"":{""dataInfo"":{""song"":""Love+Warrior+战"",""itemid"":""28620407"",""artist"":""尚雯婕""},""hotInfo"":{""viewCmd"":""返回|主界面|通知栏|媒体库|我的收藏|最近播放|战|搜索歌手|尚雯婕|收藏歌曲|上一首|播放|下一首|播放列表""}},""activeStatus"":""fg"",""sceneStatus"":""playing""}}}"
换一个有歌词的歌曲,"{""HotWords"":[""返回"",""主界面"",""通知栏"",""媒体库"",""我的收藏"",""最近播放"",""默契慢摇"",""搜索歌手"",""收藏歌曲"",""上一首"",""播放"",""下一首"",""播放列表""],""UserData"":{""serialNo"":""M1AT020102000007_20170531163321613"",""musicX::default"":{""data"":{""dataInfo"":{""song"":""默契Remix慢摇"",""itemid"":""10487184"",""artist"":""DJ""},""hotInfo"":{""viewCmd"":""返回|主界面|通知栏|媒体库|我的收藏|最近播放|默契慢摇|搜索歌手|收藏歌曲|上一首|播放|下一首|播放列表""}},""activeStatus"":""fg"",""sceneStatus"":""playing""}}}"
